answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
75.0,75.0,71.0,0.3333333333333333,neutral,"Die repräsentative Umfrage meiner IG „Sichere Renten“ ( https://t.co/hSMO2Pxvx5 ) zeigt, nicht nur im Volk, auch bei den Linken ist eine Erhöhung des Rentenalters mehrheitsfähig. Ich werde mich mit meiner IG aktiv für eine echte Reform einsetzen. https://t.co/38PScOCizY",repräsentative umfrage ig sicher renten zeigen volk link erhöhung rentenalters mehrheitsfähig ig aktiv echte reform einsetzen,"{'Die': 0.08, 'repräsentative': 0.12, 'Umfrage': 0, 'meiner': 0, 'IG': 0, '„': 0, 'Sichere': 0, 'Renten': 0, '“': 0, 'zeigt': 0, 'nicht': 0, 'nur': 0, 'im': 0, 'Volk': 0, 'auch': 0, 'bei': 0, 'den': 0, 'Linken': 0, 'ist': 0, 'eine': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'mehrheitsfähig': 0, 'Ich': 0, 'werde': 0, 'mich': 0, 'mit': 0, 'aktiv': 0, 'für': 0, 'echte': 0, 'Reform': 0, 'einsetzen': 0}",positive,"[0.11115894, 0.01717664, 0.8716644]",,,,,,,,,,,,,positive
75.0,75.0,71.0,0.3333333333333333,neutral,"Die repräsentative Umfrage meiner IG „Sichere Renten“ ( https://t.co/hSMO2Pxvx5 ) zeigt, nicht nur im Volk, auch bei den Linken ist eine Erhöhung des Rentenalters mehrheitsfähig. Ich werde mich mit meiner IG aktiv für eine echte Reform einsetzen.  https://t.co/tZvYnfjGAE",repräsentative umfrage ig sicher renten zeigen volk link erhöhung rentenalters mehrheitsfähig ig aktiv echte reform einsetzen,"{'Die': 0.08, 'repräsentative': 0.12, 'Umfrage': 0, 'meiner': 0, 'IG': 0, '„': 0, 'Sichere': 0, 'Renten': 0, '“': 0, 'zeigt': 0, 'nicht': 0, 'nur': 0, 'im': 0, 'Volk': 0, 'auch': 0, 'bei': 0, 'den': 0, 'Linken': 0, 'ist': 0, 'eine': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'mehrheitsfähig': 0, 'Ich': 0, 'werde': 0, 'mich': 0, 'mit': 0, 'aktiv': 0, 'für': 0, 'echte': 0, 'Reform': 0, 'einsetzen': 0}",positive,"[0.11115894, 0.01717664, 0.8716644]",,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"Im Bundesrat regiert die Linke und Gewerkschaften! Obschon heutige Repräsentativ-Umfragen eine Volksmehrheit für eine Rentenaltererhöhung voraussagt, schüttet der Bundesrat locker mit der Umverteilungskanne weitere Hunderte von fehlenden Millionen aus. : https://t.co/indtpuUrPl",bundesrat regieren link gewerkschaften obschon heutige repräsentativ umfragen volksmehrheit rentenaltererhöhung voraussagen schütten bundesrat lockern umverteilungskanne weit hunderte fehlend millionen,"{'Im': 0, 'Bundesrat': 0.060000000000000005, 'regiert': 0, 'die': 0.05, 'Linke': 0.06, 'und': 0.03, 'Gewerkschaften': 0.07, 'Obschon': 0.07, 'heutige': 0, 'Repräsentativ-Umfragen': 0.07, 'eine': 0, 'Volksmehrheit': 0.09125, 'für': 0, 'Rentenaltererhöhung': 0.9175, 'voraussagt': 0, 'schüttet': 0, 'der': 0.05, 'locker': 0, 'mit': 0.04, 'Umverteilungskanne': 0.09, 'weitere': 0, 'Hunderte': 0.05, 'von': 0, 'fehlenden': 0.12, 'Millionen': 0.09, 'aus': 0.03}",positive,"[0.40111294, 0.12972198, 0.4691651]",,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.7,neutral,"Im Bundesrat regiert die Linke und Gewerkschaften! Obschon heutige Repräsentativ-Umfragen eine Volksmehrheit für eine Rentenaltererhöhung voraussagt, schüttet der Bundesrat locker mit der Umverteilungskanne weitere Hunderte von fehlenden Millionen aus.

https://t.co/6lWnmVoPmk",bundesrat regieren link gewerkschaften obschon heutige repräsentativ umfragen volksmehrheit rentenaltererhöhung voraussagen schütten bundesrat lockern umverteilungskanne weit hunderte fehlend millionen,"{'Im': 0, 'Bundesrat': 0.060000000000000005, 'regiert': 0, 'die': 0.05, 'Linke': 0.06, 'und': 0.03, 'Gewerkschaften': 0.07, 'Obschon': 0.08, 'heutige': 0, 'Repräsentativ-Umfragen': 0.07500000000000001, 'eine': 0, 'Volksmehrheit': 0.0925, 'für': 0, 'Rentenaltererhöhung': 0.925, 'voraussagt': 0, 'schüttet': 0, 'der': 0.05, 'locker': 0, 'mit': 0.04, 'Umverteilungskanne': 0.09, 'weitere': 0, 'Hunderte': 0.05, 'von': 0, 'fehlenden': 0.12, 'Millionen': 0.1, 'aus': 0.03}",positive,"[0.3749338, 0.11276283, 0.51230335]",,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.7,neutral,"Im Bundesrat regiert die Linke und Gewerkschaften! Obschon heutige Repräsentativ-Umfragen eine Volksmehrheit für eine Rentenaltererhöhung voraussagt, schüttet der Bundesrat locker mit der Umverteilungskanne weitere Hunderte von fehlenden Millionen aus. https://t.co/Bxvh0n3Ewn",bundesrat regieren link gewerkschaften obschon heutige repräsentativ umfragen volksmehrheit rentenaltererhöhung voraussagen schütten bundesrat lockern umverteilungskanne weit hunderte fehlend millionen,"{'Im': 0, 'Bundesrat': 0.060000000000000005, 'regiert': 0, 'die': 0.05, 'Linke': 0.06, 'und': 0.03, 'Gewerkschaften': 0.07, 'Obschon': 0.08, 'heutige': 0, 'Repräsentativ-Umfragen': 0.07500000000000001, 'eine': 0, 'Volksmehrheit': 0.0925, 'für': 0, 'Rentenaltererhöhung': 0.925, 'voraussagt': 0, 'schüttet': 0, 'der': 0.05, 'locker': 0, 'mit': 0.04, 'Umverteilungskanne': 0.09, 'weitere': 0, 'Hunderte': 0.05, 'von': 0, 'fehlenden': 0.12, 'Millionen': 0.1, 'aus': 0.03}",positive,"[0.3749338, 0.11276283, 0.51230335]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @IvoBieri: @FuWForum @HPPortmann „Der Kundenberater der Bank wird im Zeitalter der #Digitalisierung zum ‚Companion‘. Er begleitet den Ku…,kundenberater bank zeitalter digitalisierung companion begleiten ku,,,,"{'„': 0, 'Der': 0, 'Kundenberater': 0, 'der': 0, 'Bank': 0, 'wird': 0, 'im': 0, 'Zeitalter': 0, 'Digitalisierung': 0, 'zum': 0, '‚': 0, 'Companion': 0, '‘': 0, 'Er': 0, 'begleitet': 0, 'den': 0, 'Ku': 0, '…': 0}",positive,"[0.29384103, 0.020423044, 0.68573594]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Die Schweiz will und kann ihren Beitrag für eine überlebensfähige Umwelt zugunsten nachfolgender Generationen leisten. Einigen wir uns mit einem revidierten Verfassungsartikel auf mehrheitsfähige liberale Umweltschutz-Instrumente. https://t.co/4ISCNXegyS,schweiz beitrag überlebensfähige umwelt zugunsten nachfolgend generationen leisten revidierten verfassungsartikel mehrheitsfähige liberale umweltschutz instrumente,,,,,,,"{'Die': 0.04, 'Schweiz': 0.11, 'will': 0, 'und': 0.05, 'kann': 0.05, 'ihren': 0, 'Beitrag': 0.12, 'für': 0.03, 'eine': 0, 'überlebensfähige': 0, 'Umwelt': 0.08, 'zugunsten': 0.06, 'nachfolgender': 0, 'Generationen': 0.12, 'leisten': 0, 'Einigen': 0, 'wir': 0, 'uns': 0.06, 'mit': 0.14, 'einem': 0, 'revidierten': 0.18, 'Verfassungsartikel': 0.45999999999999996, 'auf': 0.47, 'mehrheitsfähige': 0.3, 'liberale': 1.0, 'Umweltschutz-Instrumente': 0.6}",positive,"[0.11335318, 0.039854936, 0.84679186]",,,,,,,positive
0.0,0.0,14.0,-0.7,negative,"Völlig unqualifizierter Gastartikel! Was Herr Baudenbach proklamiert, ist ein EWR-Beitritt. Er weiss genau, dass es keine Marktzugangs-Optionen für die EFTA gibt, weil für die EU dazu der EWR heute und in Zukunft der einzige Vertragspartner ist und bleibt. https://t.co/SyCcbxUm0B",völlig unqualifiziert gastartikel herr baudenbach proklamieren ewr beitreten weiss genau marktzugangs optionen efta geben eu ewr heute zukunft einzig vertragspartner bleiben,,,,,,,,,,"{'Völlig': 0, 'unqualifizierter': 0, 'Gastartikel': 0, 'Was': 0, 'Herr': 0, 'Baudenbach': 0.06, 'proklamiert': 0, 'ist': 0.06, 'ein': 0, 'EWR-Beitritt': 0.08, 'Er': 0.06, 'weiss': 0, 'genau': 0, 'dass': 1.0, 'es': 0.06, 'keine': 0, 'Marktzugangs-Optionen': 0.165, 'für': 0.03, 'die': 0.02, 'EFTA': 0.08, 'gibt': 0.34, 'weil': 0.42, 'EU': 0, 'dazu': 0, 'der': 0.02, 'EWR': 0, 'heute': 0.05, 'und': 0.04, 'in': 0.02, 'Zukunft': 0.04, 'einzige': 0.04, 'Vertragspartner': 0.05, 'bleibt': 0}",negative,"[0.38386685, 0.4405281, 0.17560504]",,,,negative
75.0,100.0,86.0,0.5,neutral,"@NordmannRoger Verlogener geht es nicht mehr. Die SP und ihr Gewerkschaftsflügel torpedieren alles und setzen Arbeitsplätze aufs Spiel. Dabei steht im SP-Parteiprogramm der EU-Beitritt. Ehrlicher ist, die Bereitschaft Verhandlungen auch scheitern zu lassen, um ein gutes Ergebnis zu erzielen.""",verlogen gehen mehr sp gewerkschaftsflügel torpedieren setzen arbeitsplätze aufs spiel dabei stehen sp parteiprogramm eu beitreten ehrlich bereitschaft verhandlungen scheitern lassen gutes ergebnis erzielen,,,,,,,,,,"{'Verlogener': 0.04, 'geht': 0, 'es': 0.1, 'nicht': 0, 'mehr': 0.07, 'Die': 0.04, 'SP': 0.07, 'und': 0.05, 'ihr': 0, 'Gewerkschaftsflügel': 0.03, 'torpedieren': 0.04, 'alles': 0.03, 'setzen': 0, 'Arbeitsplätze': 0.06, 'aufs': 0, 'Spiel': 0, 'Dabei': 0, 'steht': 0, 'im': 0, 'SP-Parteiprogramm': 0.0825, 'der': 0.04, 'EU-Beitritt': 0.075, 'Ehrlicher': 0.13, 'ist': 0.1, 'die': 0.04, 'Bereitschaft': 0, 'Verhandlungen': 0.1, 'auch': 0, 'scheitern': 0.1, 'zu': 0.04, 'lassen': 0, 'um': 0.08, 'ein': 0, 'gutes': 0.11, 'Ergebnis': 0.21, 'erzielen': 0.1}",neutral,"[0.4200017, 0.32842833, 0.25157]",,,,positive
50.0,75.0,57.0,0.0,neutral,"@FranzStirnimann @thomas_aeschi @Andreas_Schwab Lesen Sie die Beschlüsse der Aussenpolitischen Kommissionen und der beiden Räte. Diese bilden um die über 75 % der Wählenden ab. Und davon sind drei Viertel gegen einen EU-Beitritt (auch ich, und zwar dezidiert). Also, lassen wir doch das Volk abstimmen!",lesen beschlüsse aussenpolitischen kommissionen beid räte bilden wählend ab davon drei viertel eu beitreten dezidieren lassen volk abstimmen,,,,,,,,,,"{'Lesen': 0.22, 'Sie': 0, 'die': 0.13, 'Beschlüsse': 0, 'der': 0.13, 'Aussenpolitischen': 0.05, 'Kommissionen': 0, 'und': 0.06, 'beiden': 0, 'Räte': 0.06, 'Diese': 0, 'bilden': 0.13, 'um': 0, 'über': 0, '75': 0, 'Wählenden': 0, 'ab': 0, 'Und': 0.06, 'davon': 0.04, 'sind': 0.08, 'drei': 0.05, 'Viertel': 0, 'gegen': 0.11, 'einen': 0, 'EU-Beitritt': 0.12, 'auch': 0, 'ich': 0.05, 'zwar': 0, 'dezidiert': 0, 'Also': 0, 'lassen': 0, 'wir': 0, 'doch': 0, 'das': 0, 'Volk': 0.35, 'abstimmen': 1.0}",neutral,"[0.6780454, 0.05533562, 0.266619]",,,,neutral
