answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"#AHV schreibt über eine halbe Mrd. Verlust - Flexibilisierung/Erhöhung Rentenalter, Reduktion Umwandlungssatz &amp; Erhöhung AHV-Beiträge nötig",ahv schreiben halbe mrd verlust flexibilisierung erhöhung rentenalter reduktion umwandlungssatz amp erhöhung ahv beiträge nötigen,"{'AHV': 0.22, 'schreibt': 0.41, 'über': 0.18, 'eine': 0, 'halbe': 0.3, 'Mrd.': 0.95, 'Verlust': 1.0, 'Flexibilisierung': 0.65, 'Erhöhung': 0.22, 'Rentenalter': 0.845, 'Reduktion': 0.26, 'Umwandlungssatz': 0.26, 'amp': 0.29, 'AHV-Beiträge': 0.2, 'nötig': 0.19}",positive,"[0.07965581, 0.28404748, 0.63629675]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @PID_Ja: #Fortpflanzungsmedizin ist für Schweizer Jugendliche überaus wichtiges Thema #FMedG #abst16 #PIDja @stefanrueegger
https://t.co…",fortpflanzungsmedizin schweizer jugendlich überaus wichtig thema fmedg abst16 pidja,,,,"{'Fortpflanzungsmedizin': 0.515, 'ist': 0.23, 'für': 0.17, 'Schweizer': 0.1, 'Jugendliche': 0, 'überaus': 0, 'wichtiges': 1.0, 'Thema': 0, 'FMedG': 0.12, 'abst16': 0.13, 'PIDja': 0.1}",positive,"[0.0016786044, 0.0010662952, 0.99725515]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Änderungen des Fortpflanzungsmedizingesetzes #FMedG waren aber bereits im Dezember 14 bekannt.#Abst16 #CHvote #PIDja https://t.co/qNHypyWfkf,änderungen fortpflanzungsmedizingesetzes fmedg bereits dezember bekennen abst16 chvote pidja,,,,"{'Änderungen': 0.42, 'des': 0, 'Fortpflanzungsmedizingesetzes': 0.845, 'FMedG': 0.41, 'waren': 0, 'aber': 0, 'bereits': 0.08, 'im': 0, 'Dezember': 0.14, '14': 0, 'bekannt.#Abst16': 0.11000000000000001, 'CHvote': 0.11, 'PIDja': 0.12}",neutral,"[0.71626514, 0.028859388, 0.2548754]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Was Bevölkerung über E-Voting denkt: Über zwei Drittel sind dafür #Abstimmung #Wahlen @AargauerZeitung @zdaarau
https://t.co/kOPJReEr72",bevölkerung e voting denken zwei drittel dafür abstimmung wahlen,,,,,,,"{'Was': 0, 'Bevölkerung': 0.34, 'über': 0.31, 'E-Voting': 0, 'denkt': 0.69, 'Über': 0.31, 'zwei': 0.13, 'Drittel': 0, 'sind': 0.36, 'dafür': 0, 'Abstimmung': 0, 'Wahlen': 0}",neutral,"[0.8590255, 0.042721573, 0.09825296]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Es ist noch nicht zu spät, sich für eine fortschrittliche Luftwaffe einzusetzen. Die entsprechenden Wahlunterlagen können bis Sonntag direkt in den Gemeinde-Briefkasten der Wohngemeinde geworfen werden. Ich stimme am 27. September JA zur Beschaffung neuer Kampfflugzeuge. ✈ ✈✈ https://t.co/EZHvLLSykW",spät fortschrittliche luftwaffe einsetzen entsprechend wahlunterlagen sonntag direkt gemeinden briefkasten wohngemeinde werfen stimme september ja beschaffung neu kampfflugzeuge,,,,,,,,,,"{'Es': 0.01, 'ist': 0.01, 'noch': 0, 'nicht': 0.01, 'zu': 0.33, 'spät': 0.02, 'sich': 0, 'für': 0.02, 'eine': 0, 'fortschrittliche': 0.04, 'Luftwaffe': 0, 'einzusetzen': 0.33, 'Die': 0.05, 'entsprechenden': 0, 'Wahlunterlagen': 0.14, 'können': 0.02, 'bis': 0, 'Sonntag': 0.04, 'direkt': 0, 'in': 0, 'den': 0.05, 'Gemeinde-Briefkasten': 0.06, 'der': 0.05, 'Wohngemeinde': 0.0475, 'geworfen': 0.03, 'werden': 0.09, 'Ich': 0.05, 'stimme': 0, 'am': 0, '27.': 0, 'September': 0.06, 'JA': 0, 'zur': 0.19, 'Beschaffung': 0, 'neuer': 0, 'Kampfflugzeuge': 0}",neutral,"[0.85469383, 0.028837653, 0.11646857]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Ich stimme am 27. September JA zur Beschaffung neuer Kampfflugzeuge✈️✈️✈️ https://t.co/P63fRoohvn,stimme september ja beschaffung neu kampfflugzeuge,,,,,,,,,,"{'Ich': 0.05, 'stimme': 0, 'am': 0, '27.': 0, 'September': 0.1, 'JA': 0, 'zur': 0.23, 'Beschaffung': 0, 'neuer': 0, 'Kampfflugzeuge️️️': 0}",neutral,"[0.5249694, 0.02432883, 0.4507018]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Für die Sicherheit unseres Landes engagiere ich mich. Zu einer starken und glaubwürdigen Armee gehört auch eine moderne Luftwaffe. Aus diesem Grunde setze ich mich bis zum 27. September 2020 mit verschiedenen Statements für ein Ja zur Beschaffung neuer Kampfflugzeuge ein. ✈️✈️ ✈️ https://t.co/7Y9KwNLX7u,sicherheit landes engagieren stark glaubwürdig armee hören modern luftwaffe grunde setzen september verschieden statements ja beschaffung neu kampfflugzeuge,,,,,,,,,,"{'Für': 0.16, 'die': 0.13, 'Sicherheit': 0, 'unseres': 0, 'Landes': 0.07, 'engagiere': 0, 'ich': 0.19, 'mich': 0, 'Zu': 0.17, 'einer': 0, 'starken': 0, 'und': 0.06, 'glaubwürdigen': 0.11, 'Armee': 0.13, 'gehört': 0, 'auch': 0.14, 'eine': 0, 'moderne': 0.08, 'Luftwaffe': 0, 'Aus': 0, 'diesem': 0.14, 'Grunde': 0, 'setze': 0, 'bis': 0.51, 'zum': 0.15000000000000002, '27.': 0, 'September': 0.36, '2020': 0, 'mit': 0.31, 'verschiedenen': 0, 'Statements': 0.55, 'für': 0.16, 'ein': 0, 'Ja': 0.06, 'zur': 0.15000000000000002, 'Beschaffung': 0.38, 'neuer': 0, 'Kampfflugzeuge': 0, '️️': 0, '️': 0}",neutral,"[0.764641, 0.0920027, 0.14335634]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Ich stimme am 27. September JA zur Beschaffung neuer Kampfflugzeuge.✈ ✈✈ https://t.co/iMxIvuBz2p,stimme september ja beschaffung neu kampfflugzeuge,,,,,,,,,,"{'Ich': 0.07, 'stimme': 0, 'am': 0, '27.': 0, 'September': 0.09, 'JA': 0, 'zur': 0.31, 'Beschaffung': 0, 'neuer': 0, 'Kampfflugzeuge': 0}",neutral,"[0.76318884, 0.019926473, 0.2168847]",,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,"Wir haben es in der Corona-Zeit gesehen: Sobald Schutzmaterial knapp wurde, haben die Nachbarländer die Lieferungen in die Schweiz blockiert. Masken kann man in ein paar Wochen beschaffen, funktionsfähige Kampfflugzeuge nicht. Ich stimme JA zur Beschaffung neuer Kampfflugzeuge. https://t.co/OJRps1Qm4B",corona zeit sehen sobald schutzmaterial knapp nachbarländer lieferungen schweiz blockieren masken paar wochen beschaffen funktionsfähig kampfflugzeuge stimme ja beschaffung neu kampfflugzeuge,,,,,,,,,,"{'Wir': 0.03, 'haben': 0.08, 'es': 0, 'in': 0.07, 'der': 0.03, 'Corona-Zeit': 0.02, 'gesehen': 0, 'Sobald': 0.03, 'Schutzmaterial': 0.025, 'knapp': 0, 'wurde': 0, 'die': 0.03, 'Nachbarländer': 0.04, 'Lieferungen': 0.07, 'Schweiz': 0.05, 'blockiert': 0.11, 'Masken': 0.11, 'kann': 0.29, 'man': 0, 'ein': 0, 'paar': 0, 'Wochen': 0.07, 'beschaffen': 0.24, 'funktionsfähige': 0.47, 'Kampfflugzeuge': 0, 'nicht': 0, 'Ich': 0.17, 'stimme': 0, 'JA': 0, 'zur': 0.055, 'Beschaffung': 0, 'neuer': 0}",negative,"[0.35394496, 0.595942, 0.05011298]",,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,Mit effizienteren Nutzung &amp; Ausbau der Infrastruktur sowie mit #Digitalisierung gegen #Dichtestress.  #Economiesuise https://t.co/4Wfisja1PF,effizient nutzung amp ausbau infrastruktur sowie digitalisierung dichtestress economiesuise,,,,,,,,,,,,,"{'Mit': 1.0, 'effizienteren': 0.2, 'Nutzung': 0.08, 'amp': 0.07, 'Ausbau': 0.6, 'der': 0.13, 'Infrastruktur': 0.23, 'sowie': 0, 'mit': 1.0, 'Digitalisierung': 0, 'gegen': 0.45, 'Dichtestress': 0.16999999999999998, 'Economiesuise': 0.13}",positive,"[0.0015356432, 0.0015167063, 0.9969477]",,,,,,,,,,,,,positive
