answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,0.85,neutral,"#Jugendpolittag, die Zusammenfassungen im Plenum sind höchst interessant. Als erstes wird Cannabis legalisiert! https://t.co/HLesGqyUhr",jugendpolittag zusammenfassungen plenum höchst interessant erst cannabis legalisieren,"{'Jugendpolittag': 0.07750000000000001, 'die': 0.05, 'Zusammenfassungen': 0.15, 'im': 0, 'Plenum': 0, 'sind': 0.04, 'höchst': 0, 'interessant': 0.11, 'Als': 0, 'erstes': 0.1, 'wird': 0, 'Cannabis': 0.74, 'legalisiert': 0}",positive,"[0.1712498, 0.0043840623, 0.82436615]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"#Vaterschaftsurlaub, die Stadt @solothurn will den Vaterschaftsurlaub von 2 auf 10 Tage erhöhen @papizeit und die @FDP_Liberalen laufen sturm! Für mich als @gruene_so unglaublich 💚. Kopfschütteln können alle, degegen halten nur stimmberechtigte Solothurnerinnen und Solothurner. https://t.co/SbhS29NTZz",vaterschaftsurlaub stadt vaterschaftsurlaub tage erhöhen laufen sturm unglaublich kopfschütteln all degegen halten stimmberechtigt solothurnerinnen solothurner,,,,"{'Vaterschaftsurlaub': 0.08499999999999999, 'die': 0.09, 'Stadt': 0.06, 'will': 0, 'den': 0.09, 'von': 0.04, '2': 0, 'auf': 0, '10': 0, 'Tage': 0.03, 'erhöhen': 0, 'und': 0.13, 'laufen': 0.01, 'sturm': 0, 'Für': 0, 'mich': 0.05, 'als': 0.05, 'unglaublich': 0.26, 'Kopfschütteln': 0, 'können': 0, 'alle': 0.02, 'degegen': 0, 'halten': 0, 'nur': 0.02, 'stimmberechtigte': 0.02, 'Solothurnerinnen': 0.07, 'Solothurner': 0.07}",negative,"[0.19939369, 0.7447354, 0.055870872]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Im #Kantonsrat @KantonSolothurn wurde heute die #Charta der #Lohngleichheit im öffentlichen Sektor besprochen. Gegen @FDP_Liberalen  und @SVPch wird erheblich erklärt, jeh 💚 💜 danke allen andern. @gruene_so @cvpktsolothurn und @spsolothurn https://t.co/YyWTe2sYQc",kantonsrat heute charta lohngleichheit öffentlich sektor besprechen erheblich erklären jeh danke,,,,,,,"{'Im': 0, 'Kantonsrat': 0.175, 'wurde': 0, 'heute': 0.14, 'die': 0.08, 'Charta': 0.4, 'der': 0.08, 'Lohngleichheit': 0.825, 'im': 0, 'öffentlichen': 0.11, 'Sektor': 0.16, 'besprochen': 0.29, 'Gegen': 0.1, 'und': 0.1, 'wird': 0, 'erheblich': 0, 'erklärt': 0.12, 'jeh': 0, 'danke': 0.07500000000000001, 'allen': 0, 'andern': 0}",positive,"[0.43410212, 0.024279319, 0.5416186]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @regulatschanz: Ich bin auch für #Lohngleichheit. Aber...,lohngleichheit,,,,,,,"{'Ich': 0.19, 'bin': 0, 'auch': 0.46, 'für': 0.88, 'Lohngleichheit': 0, 'Aber': 0.42, '...': 0}",positive,"[0.097509354, 0.022434268, 0.88005644]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Steuersenkung wird mit 285 Stimmen gegen 235 abgelehnt.,steuersenkung stimmen ablehnen,,,,,,,,,,"{'Steuersenkung': 0.515, 'wird': 0, 'mit': 0, '285': 0, 'Stimmen': 0, 'gegen': 0.37, '235': 0, 'abgelehnt': 0}",negative,"[0.010872953, 0.98500896, 0.004118128]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @GrueneCH: 2018 hat die 🇨🇭 Kriegsmaterial im Wert von 510 Mio CHF exportiert. Dies auch in Länder, die im Jemenkrieg involviert sind. Si…",kriegsmaterial wert mio chf exportieren länder jemenkrieg involvieren si,,,,,,,,,,,,,"{'2018': 0, 'hat': 0, 'die': 0, '🇨': 0, '🇭': 0, 'Kriegsmaterial': 0, 'im': 0, 'Wert': 0, 'von': 0, '510': 0, 'Mio': 0, 'CHF': 0, 'exportiert': 0, 'Dies': 0, 'auch': 0, 'in': 0, 'Länder': 0, 'Jemenkrieg': 0, 'involviert': 0, 'sind': 0, 'Si': 0, '…': 0}",positive,"[0.27940688, 0.016484484, 0.7041087]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"2. KR Sessionstag in der CIS Halle #Solothurn. Myriam Frey @DustyNewRose, @gruene_so spricht zum Gesetz über das Behördenportal. Die Vorlage schafft in Sache Digitalisierung Nägel mit Köpfen - eine flächendeckende Einführung macht Sinn. https://t.co/mjeTkrWaTw",kr sessionstag cis halle solothurn myriam frey sprechen gesetz behördenportal vorlage schaffen sache digitalisierung nägel köpfen flächendeckende einführung sinn,,,,,,,,,,,,,,,,"{'2.': 0, 'KR': 0.02, 'Sessionstag': 0, 'in': 0.01, 'der': 0.05, 'CIS': 0.01, 'Halle': 0, 'Solothurn': 0.01, 'Myriam': 0.02, 'Frey': 0.01, 'spricht': 0.05, 'zum': 0.525, 'Gesetz': 0.23, 'über': 0, 'das': 0, 'Behördenportal': 0.07, 'Die': 0.05, 'Vorlage': 0.08, 'schafft': 0.05, 'Sache': 0, 'Digitalisierung': 0, 'Nägel': 0, 'mit': 0, 'Köpfen': 0, 'eine': 0, 'flächendeckende': 0, 'Einführung': 0.11, 'macht': 0, 'Sinn': 0}",neutral,"[0.89008415, 0.0136747295, 0.09624102]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"#framing21 da die Begegnungen erschwert sind, lassen wir Bilder sprechen 🍀 #krwso21. Zum Natur- und Umweltschutz gehören Klima-, Wald- und Gewässerschutz - der Storch der #Witi als Symbol für dringend nötiges Engagement. @gruene_so https://t.co/epLQbpM3le",framing21 begegnungen erschweren lassen bilder sprechen krwso21 natur umweltschutz gehören klima wald gewässerschutz storch witi symbol dringen nötig engagement,,,,,,,,,,,,,,,,,,,"{'framing21': 0.1, 'da': 0, 'die': 0.28, 'Begegnungen': 0.05, 'erschwert': 0.07, 'sind': 0.07, 'lassen': 0, 'wir': 0, 'Bilder': 0, 'sprechen': 0.08, 'krwso21.': 0, 'Zum': 0.28, 'Natur-': 0, 'und': 0.27, 'Umweltschutz': 0.33, 'gehören': 0, 'Klima-': 0.27, 'Wald-': 0, 'Gewässerschutz': 0.34, 'der': 0.28, 'Storch': 0, 'Witi': 0, 'als': 0.25, 'Symbol': 0.48, 'für': 0, 'dringend': 0.09, 'nötiges': 0, 'Engagement': 0}",positive,"[0.0155576635, 0.0023737496, 0.9820686]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"#Gruenstadtsolothurn, die @SVPch hat die Herausforderungen der Zeit erkannt und fordert öffentlich gebührenpflichtige Veloparkplätze 😅🤪  @gruene_so in den Gemeinderat #Langsamverkehr @verkehrsclub https://t.co/qkY871Rx1r",gruenstadtsolothurn herausforderungen zeit erkennen fordern öffentlich gebührenpflichtig veloparkplätze gemeinderat langsamverkehr,,,,,,,,,,,,,,,,,,,,,,"{'Gruenstadtsolothurn': 0.28, 'die': 0.08, 'hat': 0, 'Herausforderungen': 0.03, 'der': 0.08, 'Zeit': 0.02, 'erkannt': 0.02, 'und': 0.03, 'fordert': 0.05, 'öffentlich': 0.04, 'gebührenpflichtige': 0, 'Veloparkplätze': 0, '🤪': 0, 'in': 0, 'den': 0, 'Gemeinderat': 0, 'Langsamverkehr': 0}",negative,"[0.30280185, 0.5894852, 0.10771289]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"#Pfingsten 2-tägige Rundtour, Anreisese mit öffentlichem Verkehr und emissionslos zu Fuss unterwegs #CreuxduVan 💚 https://t.co/TZnXKH7Bmc",pfingsten tägige rundtour anreisese öffentlich verkehr emissionslos fuss unterwegs creuxduvan,,,,,,,,,,,,,,,,,,,,,,"{'Pfingsten': 0.3, '2-tägige': 0, 'Rundtour': 0.315, 'Anreisese': 1.0, 'mit': 0, 'öffentlichem': 0.04, 'Verkehr': 0, 'und': 0.52, 'emissionslos': 0, 'zu': 0, 'Fuss': 0, 'unterwegs': 0.09, 'CreuxduVan': 0.14}",positive,"[0.2300966, 0.032958213, 0.7369452]",,,,neutral
