answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Wird jetzt Altbundesrat Blocher den Vaterschaftsurlaub rückwirkend einfordern?,altbundesrat blocher vaterschaftsurlaub rückwirkend einfordern,"{'Wird': 1.0, 'jetzt': 0.25, 'Altbundesrat': 0.205, 'Blocher': 0.3, 'den': 0, 'Vaterschaftsurlaub': 0.4, 'rückwirkend': 0.83, 'einfordern': 0}",neutral,"[0.9661754, 0.01726432, 0.016560331]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"RT @Wohninitiative: @mtoengi in der #srfarena: ""Die Gemeinden brauchen Instrumente, um den gemeinnützigen Wohnungsbau zu fördern. Das Vorka…",srfarena gemeinden brauchen instrumente gemeinnützig wohnungsbau fördern vorka,,,,"{'in': 0.21, 'der': 0.22, 'srfarena': 0.28, 'Die': 0.22, 'Gemeinden': 0, 'brauchen': 0.21999999999999997, 'Instrumente': 0.18, 'um': 0, 'den': 0.22, 'gemeinnützigen': 0, 'Wohnungsbau': 0.16, 'zu': 0.09, 'fördern': 0, 'Das': 0.22, 'Vorka': 0, '…': 0}",positive,"[0.3685308, 0.052665733, 0.5788034]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @RegulaRytz: ""Die Steuersenkungsindustrie schlägt wieder zu"", sagt @FranziskaRyser zur Stufe 2 des geplanten Stempelsteuer-Abbaus. Nun b…",steuersenkungsindustrie schlagen sagen stufe geplant stempelsteuer abbaus b,,,,,,,"{'Die': 0.07, 'Steuersenkungsindustrie': 0.095, 'schlägt': 0, 'wieder': 0.17, 'zu': 0, 'sagt': 0.23, 'zur': 0.07, 'Stufe': 0, 'des': 0, 'geplanten': 0.17, 'Stempelsteuer-Abbaus': 0.125, 'Nun': 0, 'b': 1.0, '…': 0}",positive,"[0.06292869, 0.011405897, 0.92566544]",,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,neutral,"@Buehler6274 Zweiter Versuch, du plädierst für weitere Steuersenkungen als soziale Wohltat. Passend in der Situation unseres Kantons?",zweit versuch plädieren weit steuersenkungen soziale wohltat passen situation kantons,,,,,,,"{'Zweiter': 0.18, 'Versuch': 0.33, 'du': 0, 'plädierst': 0, 'für': 0.09, 'weitere': 0.79, 'Steuersenkungen': 0.48, 'als': 0.21, 'soziale': 0.1, 'Wohltat': 0.2, 'Passend': 0, 'in': 0.06, 'der': 0.09, 'Situation': 0.15, 'unseres': 0, 'Kantons': 0}",positive,"[0.13566785, 0.02774, 0.83659214]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,willkommen in der luzerner realität http://t.co/p84qkr4XAT . wir hatten uns das neue glück dank steuersenkungen etwas anders vorgestellt.,willkommen luzerner realität neue glück danken steuersenkungen vorstellen,,,,,,,"{'willkommen': 0.28, 'in': 0.08, 'der': 0, 'luzerner': 0.15, 'realität': 0.16, 'wir': 0, 'hatten': 0.4, 'uns': 0, 'das': 0, 'neue': 0.08, 'glück': 0.16, 'dank': 0.54, 'steuersenkungen': 0.685, 'etwas': 0, 'anders': 0.1, 'vorgestellt': 0}",positive,"[0.0013035762, 0.0011818869, 0.9975145]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@ErwinSchmid @NZZaS Wir müssen unsere Mobilität innert Kürze CO2-neutral machen. Also umsteigen auf Elektroautos und synthetische Treibstoffe aus erneuerbaren Energien,. Das schaffen wir nie, wenn der Autoverkehr weiter um ein bis zwei Prozent pro Jahr ansteigt.",müssen mobilität innert kürzen co2 neutral umsteigen elektroautos synthetische treibstoffe erneuerbaren energien schaffen nie autoverkehr weit zwei prozent pro jahr ansteigen,,,,,,,,,,"{'Wir': 0.11, 'müssen': 0.045, 'unsere': 0.06, 'Mobilität': 0.04, 'innert': 0.05, 'Kürze': 0, 'CO2-neutral': 0, 'machen': 0.09, 'Also': 0, 'umsteigen': 0, 'auf': 0, 'Elektroautos': 0.18, 'und': 0.4, 'synthetische': 0.42, 'Treibstoffe': 0.91, 'aus': 0, 'erneuerbaren': 1.0, 'Energien': 0.9, 'Das': 0, 'schaffen': 0, 'wir': 0, 'nie': 0, 'wenn': 0.05, 'der': 0, 'Autoverkehr': 0.07, 'weiter': 0, 'um': 0.03, 'ein': 0.03, 'bis': 0, 'zwei': 0.02, 'Prozent': 0.06, 'pro': 0, 'Jahr': 0.05, 'ansteigt': 0}",neutral,"[0.6390774, 0.034556195, 0.3263664]",,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,14.0,-0.4333333333333333,neutral,Die Kriegsmaterialhersteller beklagen sich über drastischen Rückgang der Exporte. Sie waren aber auch schon tiefer...https://t.co/bF2t1CwKml https://t.co/JTT65oHejS,kriegsmaterialhersteller beklagen drastisch rückgang exporte schon tief,,,,,,,,,,,,,"{'Die': 0.16, 'Kriegsmaterialhersteller': 0.095, 'beklagen': 0.16, 'sich': 0, 'über': 0, 'drastischen': 0.19, 'Rückgang': 0.25, 'der': 0.16, 'Exporte': 0.14, 'Sie': 0, 'waren': 0, 'aber': 0.25, 'auch': 0.6, 'schon': 0, 'tiefer': 0.53, '...': 0}",neutral,"[0.48486647, 0.38810432, 0.12702918]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @PilatusToday: 6 Milliarden für neue Kampfflugzeuge? Bei @Tele1ZF diskutieren Ida Glanzmann (CVP) und Michael Töngi (Grüne) in der Sendu…,milliarden neue kampfflugzeuge diskutieren ida glanzmann cvp michael töngi grüne sendu,,,,,,,,,,,,,,,,"{'Milliarden': 0, 'für': 0.08, 'neue': 0.03, 'Kampfflugzeuge': 0, 'Bei': 0.23, 'diskutieren': 0, 'Ida': 0.15, 'Glanzmann': 0.13, 'CVP': 0.12, 'und': 1.0, 'Michael': 0.27, 'Töngi': 0, 'Grüne': 0, 'in': 0.1, 'der': 0.08, 'Sendu': 0, '…': 0}",neutral,"[0.9864016, 0.004173565, 0.009424813]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@Buehler6274 Entschuldigung, aber dies ist eine SVP-Grundhaltung und weit entfernt vom Modell der sozialen Marktwirtschaft.",entschuldigung svp grundhaltung weit entfernen modell sozial marktwirtschaft,,,,,,,,,,,,,,,,,,,"{'Entschuldigung': 0, 'aber': 0.05, 'dies': 0, 'ist': 0.05, 'eine': 0, 'SVP-Grundhaltung': 0.15, 'und': 0.09, 'weit': 0.09, 'entfernt': 0.09, 'vom': 0.21000000000000002, 'Modell': 0.21, 'der': 0.33, 'sozialen': 1.0, 'Marktwirtschaft': 0.87}",positive,"[0.014240694, 0.024449524, 0.96130973]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"@buercher Schon nicht wirklich, aber beim Stichwort Digitalisierung will niemand abseits stehen.",schon wirklich beim stichwort digitalisierung niemand abseits stehen,,,,,,,,,,,,,,,,,,,,,,"{'Schon': 0, 'nicht': 0.03, 'wirklich': 0.04, 'aber': 0.07, 'beim': 0, 'Stichwort': 0, 'Digitalisierung': 0, 'will': 0, 'niemand': 0.21, 'abseits': 0, 'stehen': 0.1}",neutral,"[0.959905, 0.008666893, 0.03142803]",,,,,,,positive
