answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @RegulaRytz: Vorwärts mit dem Cannabis-Versuch: 101 überparteiliche Unterschriften für Studie zum regulierten Verkauf eingereicht. Motio…,vorwärts cannabis versuch überparteilich unterschriften studie regulieren verkauf einreichen motio,"{'Vorwärts': 0.04, 'mit': 0.03, 'dem': 0.04, 'Cannabis-Versuch': 0.115, 'überparteiliche': 0, 'Unterschriften': 0.12, 'für': 0.03, 'Studie': 0.12, 'zum': 0.04, 'regulierten': 0.06, 'Verkauf': 0.06, 'eingereicht': 0.06, 'Motio': 1.0, '…': 0}",positive,"[0.45998672, 0.008762125, 0.53125113]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"Wieder eine Schande für den Thurgau: schweizweit die strengsten Einbürgerungsanforderungen.
https://t.co/gsiRqanog1",schande thurgau schweizweit streng einbürgerungsanforderungen,,,,"{'Wieder': 0, 'eine': 0, 'Schande': 0.28, 'für': 0.1, 'den': 0, 'Thurgau': 0.23, 'schweizweit': 0.28, 'die': 0, 'strengsten': 1.0, 'Einbürgerungsanforderungen': 0.66}",negative,"[0.025873441, 0.7562222, 0.21790437]",,,,,,,,,,,,,,,,negative
25.0,0.0,14.0,-0.575,neutral,"RT @viktorgiacobbo: Beunruhigend! Der Herrgott hat die Kantone, die die erleichterte Einbürgerung ablehnten, mit einem Erdbeben bestraft! T…",beunruhigen herrgott kantone erleichtern einbürgerung ablehnen erdbeben bestrafen t,,,,"{'Beunruhigend': 0, 'Der': 0.32, 'Herrgott': 0.085, 'hat': 0, 'die': 0.32, 'Kantone': 0.18, 'erleichterte': 0, 'Einbürgerung': 1.0, 'ablehnten': 0, 'mit': 0.13, 'einem': 0, 'Erdbeben': 0.21, 'bestraft': 0, 'T': 0.04, '…': 0}",negative,"[0.065213546, 0.86083525, 0.073951244]",,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,Thurgau - Keine Steuersenkung und «flexiblerer» Finanzhaushalt: Grüne und SP spannen für Forderungen zur Finanzpolitik zusammen https://t.co/IvyF43eOhU via @tagblatt_ch,thurgau steuersenkung flexibel finanzhaushalt grüne sp spannen forderungen finanzpolitik zusammen via,,,,,,,"{'Thurgau': 0.28, 'Keine': 0, 'Steuersenkung': 0.63, 'und': 0, '«': 0, 'flexiblerer': 0, '»': 0, 'Finanzhaushalt': 0, 'Grüne': 0, 'SP': 0, 'spannen': 0, 'für': 0, 'Forderungen': 0, 'zur': 0, 'Finanzpolitik': 0, 'zusammen': 0, 'via': 0}",negative,"[0.06451803, 0.7296628, 0.2058192]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @bastiengirod: Gutes Teamwork in der Umweltkommission des Nationalrates: Bis 2030 soll die Stromproduktion aus erneuerbaren Energien um…,gutes teamwork umweltkommission nationalrates stromproduktion erneuerbaren energien,,,,,,,,,,"{'Gutes': 0.19, 'Teamwork': 0.11, 'in': 0.03, 'der': 0.03, 'Umweltkommission': 0.05, 'des': 0.08, 'Nationalrates': 0.04, 'Bis': 0.81, 'soll': 0, 'die': 0.03, 'Stromproduktion': 0.07500000000000001, 'aus': 0, 'erneuerbaren': 0.21, 'Energien': 0.11, 'um': 0, '…': 0}",positive,"[0.24484535, 0.028144136, 0.72701055]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Bravo: Gerade in der Nach-Coronazeit ist es wichtig, dass in erneuerbare Energien investiert wird. https://t.co/4bD6gr75tW",bravo gerade coronazeit wichtig erneuerbare energien investieren,,,,,,,,,,"{'Bravo': 0.23, 'Gerade': 0, 'in': 0.57, 'der': 0.15, 'Nach-Coronazeit': 0.15, 'ist': 0.19, 'es': 0.19, 'wichtig': 1.0, 'dass': 0, 'erneuerbare': 0.84, 'Energien': 0.64, 'investiert': 0, 'wird': 0}",positive,"[0.0067161145, 0.004355923, 0.98892796]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @AEE_SUISSE: Es muss sich endlich wieder lohnen, auch in der Schweiz in erneuerbare Energien zu investieren @enussbi @Juerg_Grossen @Mul…",endlich lohnen schweiz erneuerbare energien investieren,,,,,,,,,,"{'Es': 0, 'muss': 0.6, 'sich': 0, 'endlich': 0, 'wieder': 0.4, 'lohnen': 0.21, 'auch': 0, 'in': 0.34, 'der': 0, 'Schweiz': 0.39, 'erneuerbare': 0.57, 'Energien': 1.0, 'zu': 0.6, 'investieren': 1.0, '…': 0}",neutral,"[0.5337398, 0.04769293, 0.4185673]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @GrueneCH: «Schweizer Unternehmen haben im ersten Halbjahr Kriegsmaterial im Wert von 501 Millionen Franken exportiert – fast doppelt so…,schweizer unternehmen erst halbjahr kriegsmaterial wert millionen franken exportieren fast doppeln,,,,,,,,,,,,,"{'«': 0, 'Schweizer': 0, 'Unternehmen': 0, 'haben': 0, 'im': 0, 'ersten': 0, 'Halbjahr': 0, 'Kriegsmaterial': 0, 'Wert': 0, 'von': 0, 'Millionen': 0, 'Franken': 0, 'exportiert': 0, '–': 0, 'fast': 0, 'doppelt': 0, 'so': 0, '…': 0}",neutral,"[0.8231167, 0.11276817, 0.06411514]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @GrueneParlament: 📣Medienmitteilung: Klima- und Umweltschutz sind auch in Pandemiezeiten zentrale Anliegen der Bevölkerung. Mit einem Kl…,medienmitteilung klima umweltschutz pandemiezeiten zentrale anliegen bevölkerung kl,,,,,,,,,,,,,,,,"{'Medienmitteilung': 0.07, 'Klima-': 0.54, 'und': 1.0, 'Umweltschutz': 0.64, 'sind': 0.48, 'auch': 0, 'in': 0.03, 'Pandemiezeiten': 0, 'zentrale': 0.13, 'Anliegen': 0, 'der': 0.04, 'Bevölkerung': 0.05, 'Mit': 0.05, 'einem': 0, 'Kl': 0, '…': 0}",positive,"[0.0016221582, 0.001321214, 0.9970566]",,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @GrueneParlament: 📣Medienmitteilung #AP22+: «Die bürgerliche Mehrheit schiebt die dringend nötige Reform der Landwirtschaft auf die lang…,medienmitteilung ap22 bürgerliche mehrheit schieben dringen nötig reform landwirtschaft langen,,,,,,,,,,,,,,,,,,,"{'Medienmitteilung': 0.1, 'AP22': 0.09, '«': 0, 'Die': 0, 'bürgerliche': 0, 'Mehrheit': 0, 'schiebt': 0, 'die': 0, 'dringend': 0, 'nötige': 0, 'Reform': 0, 'der': 0, 'Landwirtschaft': 0, 'auf': 0, 'lang': 0, '…': 0}",positive,"[0.45001793, 0.02485454, 0.5251275]",neutral
