answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
50.0,75.0,57.0,0.0,negative,"RT @CVP_BL: Gestriger Parteitag der CVP BL: 
Ja zu den #Kampfjets
Nein zur #Begrenzungsinitiative
Ja zum #Jagdgesetz, #Vaterschaftsurlaub u…",gestrig parteitag cvp bl ja kampfjets nein begrenzungsinitiative ja jagdgesetz vaterschaftsurlaub u,"{'Gestriger': 0.05, 'Parteitag': 0.06, 'der': 0.17, 'CVP': 0.06, 'BL': 0.06, 'Ja': 0.43, 'zu': 0.09, 'den': 0.17, 'Kampfjets': 0.07500000000000001, 'Nein': 0.07, 'zur': 0.13, 'Begrenzungsinitiative': 0.105, 'zum': 0.13, 'Jagdgesetz': 0.175, 'Vaterschaftsurlaub': 0.85, 'u': 0, '…': 0}",positive,"[0.16036229, 0.0058117514, 0.8338259]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Dank Einsatz der #CVP ist der 2-wöchige Vaterschaftsurlaub einen Schritt weiter. Er ist eine gewinnbringende Investition in di…,danken einsatz cvp wöchige vaterschaftsurlaub schritt weit gewinnbringende investition di,"{'Dank': 0.13, 'Einsatz': 0, 'der': 1.0, 'CVP': 0.04, 'ist': 0.04, '2-wöchige': 0.13, 'Vaterschaftsurlaub': 0.69, 'einen': 0.04, 'Schritt': 0.08, 'weiter': 0.2, 'Er': 0.04, 'eine': 0.06, 'gewinnbringende': 0.28, 'Investition': 0.09, 'in': 0.02, 'di': 0, '…': 0}",positive,"[0.0027469888, 0.002214283, 0.9950387]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Mit der Einbürgerung gehen neue Rechte und Pflichten einher. Fünfer und Weggli geht nicht. Gehe jedoch mit NR Tuena einig, dass die Kantone da Hand bieten müssen (Option Zahlen oder Dienstleistung). https://t.co/2gsdNBzIGb",einbürgerung gehen neue rechte pflichten einher fünfer weggli gehen gehen jedoch nr tuena kantone hand bieten müssen option zahlen dienstleistung,,,,"{'Mit': 0.05, 'der': 0.03, 'Einbürgerung': 1.0, 'gehen': 0, 'neue': 0.26, 'Rechte': 0, 'und': 0.05, 'Pflichten': 0, 'einher': 0.02, 'Fünfer': 0, 'Weggli': 0.06, 'geht': 0, 'nicht': 0.08, 'Gehe': 0, 'jedoch': 0.04, 'mit': 0.05, 'NR': 0, 'Tuena': 0.03, 'einig': 0, 'dass': 0.05, 'die': 0.03, 'Kantone': 0.04, 'da': 0, 'Hand': 0.02, 'bieten': 0.03, 'müssen': 0, 'Option': 0.02, 'Zahlen': 0, 'oder': 0.02, 'Dienstleistung': 0.02}",neutral,"[0.83565307, 0.05093493, 0.11341206]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @SaskiaSchenker: @OnlineReports über die Medienkonferenz des Komitees ""2x Nein zum kantonalen #Mindestlohn""",medienkonferenz komitees 2x nein kantonalen mindestlohn,,,,,,,"{'über': 0, 'die': 0.39, 'Medienkonferenz': 0.095, 'des': 0, 'Komitees': 0, '2x': 0.3, 'Nein': 0.28, 'zum': 0.28500000000000003, 'kantonalen': 0.72, 'Mindestlohn': 0.635}",neutral,"[0.63813055, 0.025656508, 0.33621287]",,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,RT @prime_news_ch: «Die Basler Bürgerlichen sind beim Gegenvorschlag zum Mindestlohn auf einen Taschenspielertrick der Linken hereingefalle…,basler bürgerlich beim gegenvorschlag mindestlohn taschenspielertrick link hereingefalle,,,,,,,"{'«': 0, 'Die': 0, 'Basler': 0, 'Bürgerlichen': 0, 'sind': 0, 'beim': 0, 'Gegenvorschlag': 0, 'zum': 0, 'Mindestlohn': 0, 'auf': 0, 'einen': 0, 'Taschenspielertrick': 0, 'der': 0, 'Linken': 0, 'hereingefalle': 0, '…': 0}",neutral,"[0.98030967, 0.001890253, 0.017800063]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @cvp_bs: Die CVP/EVP Fraktion lehnt die Initiative und den Gegenvorschlag für die Einführung eines gesetzlichen Mindestlohnes ab. Aktuel…,cvp evp fraktion lehnen initiative gegenvorschlag einführung gesetzlich mindestlohnes ab aktuel,,,,,,,"{'Die': 0.2, 'CVP': 0.11, 'EVP': 0, 'Fraktion': 0, 'lehnt': 0.19, 'die': 0.2, 'Initiative': 0.13, 'und': 0.09, 'den': 0.2, 'Gegenvorschlag': 0.215, 'für': 0.13, 'Einführung': 0.47, 'eines': 0, 'gesetzlichen': 0, 'Mindestlohnes': 0.9099999999999999, 'ab': 0, 'Aktuel': 0.17, '…': 0}",neutral,"[0.69203496, 0.027063867, 0.28090125]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @Telebasel: Im Sonntags-Talk diskutieren Elisabeth Schneider-Schneiter, Sarah Wyss und Thomas Kessler über Mindestlohn, Corona-Massnahme…",sonntags talk diskutieren elisabeth schneider schneiter sarah wyss thomas kessler mindestlohn corona massnahme,,,,,,,"{'Im': 0, 'Sonntags-Talk': 0.205, 'diskutieren': 0, 'Elisabeth': 0.07, 'Schneider-Schneiter': 0, 'Sarah': 0.09, 'Wyss': 0.09, 'und': 0.49, 'Thomas': 0.08, 'Kessler': 0.22, 'über': 0, 'Mindestlohn': 0.43, 'Corona-Massnahme': 0.09, '…': 0}",neutral,"[0.9979335, 0.0012370615, 0.00082940416]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @CVP_BL: 25. Februar 2021 - 18:00 Uhr
Blick-Battle online
Seien auch Sie dabei, beteiligen Sie sich am Online-Voting und sichern Sie der…",februar uhr blick battle online dabei beteiligen online voting sichern,,,,,,,,,,"{'25.': 0, 'Februar': 0.04, '2021': 0, '18:00': 0, 'Uhr': 0, 'Blick-Battle': 0.08, 'online': 0.17, 'Seien': 0.16, 'auch': 0, 'Sie': 0, 'dabei': 0, 'beteiligen': 0, 'sich': 0, 'am': 0, 'Online-Voting': 0, 'und': 1.0, 'sichern': 0, 'der': 0.22, '…': 0}",neutral,"[0.88406277, 0.050873496, 0.06506382]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @CVP_BL: NEIN zur schädlichen Begrenzungsinitiative – JA zur Beschaffung neuer Kampfflugzeuge. Bravo Schweiz 👍 @sicherheit_ja #Begrenzun…,nein schädlich begrenzungsinitiative ja beschaffung neu kampfflugzeuge bravo schweiz begrenzun,,,,,,,,,,,,,"{'NEIN': 0.07, 'zur': 0, 'schädlichen': 0.17, 'Begrenzungsinitiative': 0.575, '–': 0, 'JA': 0, 'Beschaffung': 0, 'neuer': 0, 'Kampfflugzeuge': 0, 'Bravo': 0, 'Schweiz': 0, 'Begrenzun': 0, '…': 0}",positive,"[0.16771638, 0.19379726, 0.6384863]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @Zoller_Matthias: Die @CVP_BL sagt klar JA zum Kauf von neuen Kampfflugzeugen, sagt JA zur Sicherheit ✅

@sicherheit_ja #NKF https://t.c…",sagen klaren ja kauf neu kampfflugzeugen sagen ja sicherheit nkf,,,,,,,,,,,,,"{'Die': 0, 'sagt': 0.07, 'klar': 0, 'JA': 0, 'zum': 0.08, 'Kauf': 0, 'von': 0, 'neuen': 1.0, 'Kampfflugzeugen': 0, 'zur': 0.08, 'Sicherheit': 0.18, 'NKF': 0.09}",neutral,"[0.4701849, 0.062189683, 0.46762544]",,,,,,,,,,neutral
