answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,Die FDP-Basis will mehr öV und ein höheres Rentenalter https://t.co/OeiR5dmFI0 via @NZZ,fdp basis mehr öv hoch rentenalter via,"{'Die': 0.17, 'FDP-Basis': 0, 'will': 0, 'mehr': 0.38, 'öV': 0, 'und': 0.64, 'ein': 0, 'höheres': 1.0, 'Rentenalter': 0.9650000000000001, 'via': 0.41}",positive,"[0.040762924, 0.0137743335, 0.94546276]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @YannickBerner: Die @fdp_ag beschliesst heute Stimmfreigabe beim #Vaterschaftsurlaub. Danke @MajaRiniker, @SuzanneMarclay und @JauslinMa…",beschliesst heute stimmfreigabe beim vaterschaftsurlaub danke,,,,"{'Die': 0, 'beschliesst': 0.14, 'heute': 0.1, 'Stimmfreigabe': 0, 'beim': 0, 'Vaterschaftsurlaub': 0.71, 'Danke': 0.175, 'und': 0.13, '…': 0}",positive,"[0.10097441, 0.009130504, 0.889895]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Liebe swisstransplant, auch wenn die Warteliste unerträglich lang ist - der Mensch ist kein Ersatzteillager, an dem sich die Allgemeinheit bedienen kann. Eine bewusste Zustimmung zur Organspende ist notwendig. Soviel Achtung muss möglich sein. https://t.co/ZSltl6aNZJ",lieb swisstransplant warteliste unerträglich langen mensch ersatzteillager allgemeinheit bedienen bewusste zustimmung organspende notwendig soviel achtung möglich,,,,,,,"{'Liebe': 0, 'swisstransplant': 0, 'auch': 0, 'wenn': 0.02, 'die': 0.02, 'Warteliste': 0.02, 'unerträglich': 0, 'lang': 0, 'ist': 0.18, 'der': 0.02, 'Mensch': 0, 'kein': 0, 'Ersatzteillager': 0.02, 'an': 0, 'dem': 0.51, 'sich': 0, 'Allgemeinheit': 0, 'bedienen': 0, 'kann': 0.02, 'Eine': 0, 'bewusste': 0.3, 'Zustimmung': 0, 'zur': 0.51, 'Organspende': 0.47, 'notwendig': 0.17, 'Soviel': 0.08, 'Achtung': 0, 'muss': 1.0, 'möglich': 0.04, 'sein': 0}",positive,"[0.48519745, 0.019857455, 0.49494505]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Ein Verbot ist die völlig falsche Forderung. Die digitale Demokratie findet täglich statt. Daher wird sich auch #E-Voting zur Selbsverständlichkeit mausern. Davon profitieren in Zukunft nicht nur AuslandschweizerInnen. https://t.co/sGGjjweTQO via @nzz,verbieten völlig falsch forderung digitale demokratie finden täglich statt daher e voting selbsverständlichkeit mausern davon profitieren zukunft auslandschweizerinnen via,,,,,,,,,,"{'Ein': 0.1, 'Verbot': 0.16, 'ist': 0.14, 'die': 0.13, 'völlig': 0, 'falsche': 0.1, 'Forderung': 0, 'Die': 0.13, 'digitale': 0.2, 'Demokratie': 0.21, 'findet': 0, 'täglich': 0.055, 'statt': 0.07, 'Daher': 0, 'wird': 0.23, 'sich': 0, 'auch': 0.2, 'E-Voting': 0, 'zur': 0.13, 'Selbsverständlichkeit': 0.1325, 'mausern': 0, 'Davon': 0.07, 'profitieren': 0.18, 'in': 0.13, 'Zukunft': 0.18, 'nicht': 0.16, 'nur': 0.15, 'AuslandschweizerInnen': 0.21, 'via': 1.0}",negative,"[0.28965423, 0.65141267, 0.058933042]",,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"Kleben statt klicken. Da wollten wir Liberalen die Digitalisierung vorantreiben, stehen aber bereits bei einfacher e-Vignette auf die Bremse",kleben statt klicken liberal digitalisierung vorantreiben stehen bereits einfach e vignette bremse,,,,,,,,,,,,,"{'Kleben': 0, 'statt': 0.04, 'klicken': 0.11, 'Da': 0, 'wollten': 0.31999999999999995, 'wir': 0, 'Liberalen': 0.15, 'die': 0.05, 'Digitalisierung': 0, 'vorantreiben': 0.85, 'stehen': 0, 'aber': 0.11, 'bereits': 0.1, 'bei': 0, 'einfacher': 0, 'e-Vignette': 0, 'auf': 0.06, 'Bremse': 0}",neutral,"[0.9394988, 0.025963822, 0.034537386]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Da wollen Einige die Digitalisierung nicht verstehen und sind beim ""Märklichläbe"" stehen geblieben. https://t.co/QBZZCtSbji",digitalisierung verstehen beim märklichläbe stehen bleiben,,,,,,,,,,,,,"{'Da': 0, 'wollen': 0.39, 'Einige': 0.22, 'die': 0, 'Digitalisierung': 0, 'nicht': 0, 'verstehen': 0.595, 'und': 0.2, 'sind': 0, 'beim': 0.12, 'Märklichläbe': 0, 'stehen': 0, 'geblieben': 0}",neutral,"[0.8467547, 0.10987643, 0.043368828]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @cedricwermuth: 11 Parlamentarier*innen aus dem Aargau sagen Nein zur Zerstörung des Industrie-, Forschungs- und Bildungsstandort. Und d…",parlamentarier innen aargau sagen nein zerstörung industrie forschungs bildungsstandort d,,,,,,,,,,,,,,,,"{'11': 0, 'Parlamentarier*innen': 0.24, 'aus': 0, 'dem': 0.28, 'Aargau': 0.23, 'sagen': 0.22999999999999998, 'Nein': 0.27, 'zur': 0.28, 'Zerstörung': 1.0, 'des': 0.1, 'Industrie-': 0, 'Forschungs-': 0.35, 'und': 0.11, 'Bildungsstandort': 0.575, 'Und': 0.11, 'd': 0.04, '…': 0}",positive,"[0.017751075, 0.2006103, 0.7816386]",,,,neutral
0.0,0.0,0.0,-1.0,neutral,"RT @Trinkwasser_ch: Heute ist die CH-Landwirtschaft abhängig von Importfutter, Pestiziden, Antibiotika, etc. Um eine Nahrungsmittelkalorie…",heute ch landwirtschaft abhängig importfutter pestiziden antibiotika etc nahrungsmittelkalorie,,,,,,,,,,,,,,,,,,,"{'Heute': 0.26, 'ist': 0.23, 'die': 0, 'CH-Landwirtschaft': 1.0, 'abhängig': 0.28, 'von': 0, 'Importfutter': 0, 'Pestiziden': 0.18, 'Antibiotika': 0.11, 'etc.': 0, 'Um': 0, 'eine': 0, 'Nahrungsmittelkalorie': 0.08499999999999999, '…': 0}",neutral,"[0.64747566, 0.110517286, 0.24200703]",negative
50.0,75.0,57.0,0.0,neutral,RT @liberale_twi: Keines der 13 Umweltziele wurde erfüllt - dennoch flossen Milliarden an Steuergelder in die Landwirtschaft. Jegliche Verb…,umweltziele erfüllen dennoch fließen milliarden steuergelder landwirtschaft jeglich verb,,,,,,,,,,,,,,,,,,,"{'Keines': 0.04, 'der': 0.04, '13': 0, 'Umweltziele': 0.09, 'wurde': 0, 'erfüllt': 0, 'dennoch': 0, 'flossen': 0, 'Milliarden': 0.5, 'an': 0, 'Steuergelder': 0.31, 'in': 0.11, 'die': 0.04, 'Landwirtschaft': 1.0, 'Jegliche': 0.06, 'Verb': 0.16, '…': 0}",neutral,"[0.63910186, 0.011663616, 0.3492346]",neutral
0.0,0.0,0.0,-1.0,neutral,"@MathiasKng Es geht darum, die auf Abschottung getrimmte Bauernverband-Initiative zu verhindern. Die wollte CH-Landwirtschaft unter Heimatschutz stellen",gehen darum abschottung getrimmt bauernverband initiative verhindern ch landwirtschaft heimatschutz stellen,,,,,,,,,,,,,,,,,,,"{'Es': 0.19, 'geht': 0, 'darum': 0, 'die': 1.0, 'auf': 0, 'Abschottung': 0.1, 'getrimmte': 0.14, 'Bauernverband-Initiative': 0.175, 'zu': 0.57, 'verhindern': 0, 'Die': 1.0, 'wollte': 1.0, 'CH-Landwirtschaft': 0.27, 'unter': 0.24, 'Heimatschutz': 0.23, 'stellen': 0.92}",positive,"[0.4148194, 0.083161004, 0.5020196]",negative
