answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
75.0,100.0,86.0,0.5,neutral,"RT @ReneTruninger: Das deutsche Volk ist wirklich schmerzfrei! #Flüchtlinge kosten Hamburg mehr als Kinderbetreuung!
https://t.co/cDZinyPKN…",deutsch volk wirklich schmerzfrei flüchtlinge kosten hamburg mehr kinderbetreuung,"{'Das': 0.05, 'deutsche': 0, 'Volk': 0.04, 'ist': 0, 'wirklich': 0.08, 'schmerzfrei': 0.23, 'Flüchtlinge': 0.19, 'kosten': 0, 'Hamburg': 0.26, 'mehr': 0.82, 'als': 0, 'Kinderbetreuung': 1.0}",negative,"[0.1642925, 0.7721455, 0.063561976]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @Heierle: Migranten leben von Sozialhilfe - Ohne Vision für eigenes Leben, bis Rentenalter!

Ein Beitrag der Grossrätin und Sozialvorste…",migranten leben sozialhilfe vision eigen leben rentenalter beitrag grossrätin sozialvorste,,,,"{'Migranten': 0.06, 'leben': 0.34, 'von': 0.03, 'Sozialhilfe': 0.02, 'Ohne': 0.21, 'Vision': 0.15, 'für': 0.14, 'eigenes': 0.1, 'Leben': 0.34, 'bis': 1.0, 'Rentenalter': 0.575, 'Ein': 0.04, 'Beitrag': 0.07, 'der': 0.02, 'Grossrätin': 0.03, 'und': 0.03, 'Sozialvorste': 0.02, '…': 0}",neutral,"[0.83529645, 0.04221193, 0.12249164]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,positive,"#Vaterschaftsurlaub da wir beide Angestellte sind, freuen wir uns auf zwei Wochen Vaterschaftsurlaub, guter #Kompromiss auch #Männer sollen miteingebunden werden",vaterschaftsurlaub beid angestellt freuen zwei wochen vaterschaftsurlaub gut kompromiss männer sollen miteingebunden,,,,,,,"{'Vaterschaftsurlaub': 0.11, 'da': 0, 'wir': 0, 'beide': 0.07, 'Angestellte': 0, 'sind': 0.06, 'freuen': 0.03, 'uns': 0, 'auf': 0, 'zwei': 0.06, 'Wochen': 0.05, 'guter': 0, 'Kompromiss': 0.08, 'auch': 0.06, 'Männer': 0.1, 'sollen': 0.06, 'miteingebunden': 0.09, 'werden': 0}",positive,"[0.43571013, 0.024602056, 0.5396879]",,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"AHV, Pensionskasse und dank Corona auch die ALV müssen saniert werden. Es ist verantwortungslos die Überbrückungsrente einzuführen. Das Problem bei der Wurzel packen JA zur #BGI 

https://t.co/wauogJcKgm",ahv pensionskasse danken corona alv müssen sanieren verantwortungslos überbrückungsrente einführen problem wurzel packen ja bgi,,,,,,,,,,"{'AHV': 0.03, 'Pensionskasse': 0.045, 'und': 0.03, 'dank': 0.035, 'Corona': 0.03, 'auch': 0, 'die': 0.01, 'ALV': 0, 'müssen': 0.02, 'saniert': 0, 'werden': 0, 'Es': 1.0, 'ist': 1.0, 'verantwortungslos': 1.0, 'Überbrückungsrente': 0.06, 'einzuführen': 0.065, 'Das': 0.01, 'Problem': 0.04, 'bei': 0.01, 'der': 0.01, 'Wurzel': 0.02, 'packen': 0, 'JA': 0.03, 'zur': 0.015, 'BGI': 0.03}",negative,"[0.29338282, 0.5003149, 0.20630233]",,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"@FranzStirnimann @chr_off @zac1967 die Pensionskasse funktioniert nicht nach dem Umlagedeckungsverfahren und trotzdem zahlen heute die Jungen für die PK Renten, DAS ist unsozial",pensionskasse funktionieren umlagedeckungsverfahren trotzdem zahlen heute jung pk renten unsozial,,,,,,,,,,"{'die': 0.04, 'Pensionskasse': 0.45999999999999996, 'funktioniert': 0.09, 'nicht': 1.0, 'nach': 0, 'dem': 0.085, 'Umlagedeckungsverfahren': 0, 'und': 0.2, 'trotzdem': 0, 'zahlen': 0, 'heute': 0.11, 'Jungen': 0, 'für': 0.03, 'PK': 0.03, 'Renten': 0.08, 'DAS': 0.1, 'ist': 0.09, 'unsozial': 0}",negative,"[0.07488102, 0.90146756, 0.02365147]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Die afghanischen Asylsuchenden kommen aus Griechenland und dem Balkan! Asylrecht quo vadis? https://t.co/KqyJok1PIx,afghanisch asylsuchenden kommen griechenland balkan asylrecht quo vadis,,,,,,,,,,,,,"{'Die': 0.05, 'afghanischen': 0.11, 'Asylsuchenden': 0.11, 'kommen': 0.11, 'aus': 0, 'Griechenland': 0.05, 'und': 0.06, 'dem': 0.05, 'Balkan': 0, 'Asylrecht': 0.12, 'quo': 0.37, 'vadis': 0.34}",neutral,"[0.79635775, 0.014260305, 0.18938196]",,,,,,,neutral
0.0,0.0,0.0,-0.85,negative,"Ist es nicht die linke Seite, die immer nach #Gleichberechtigung und #Gleichbehandlung schreit, aber wenns um Ausländer mit negativem Einbürgerungsgesuch geht, dann ist #Ungleichheit und #Übervorteilung ok... will man hier vom #Skandal ablenken? 
https://t.co/JOREddfBHW",link seite immer gleichberechtigung gleichbehandlung schreiten wenns ausländer negativ einbürgerungsgesuch gehen ungleichheit übervorteilung ok skandal ablenken,,,,,,,,,,,,,,,,"{'Ist': 0, 'es': 0, 'nicht': 0, 'die': 0.04, 'linke': 0.03, 'Seite': 0, 'immer': 0.03, 'nach': 0, 'Gleichberechtigung': 0, 'und': 0.07, 'Gleichbehandlung': 0.06, 'schreit': 0, 'aber': 0.07, 'wenns': 0, 'um': 0, 'Ausländer': 0.29, 'mit': 0.34, 'negativem': 1.0, 'Einbürgerungsgesuch': 0.52, 'geht': 0, 'dann': 0, 'ist': 0, 'Ungleichheit': 0.1, 'Übervorteilung': 0, 'ok': 0.04, '...': 0, 'will': 0, 'man': 0, 'hier': 0, 'vom': 0.04, 'Skandal': 0.11, 'ablenken': 0}",negative,"[0.14703979, 0.8093471, 0.04361309]",,,,negative
50.0,75.0,57.0,0.0,neutral,RT @AargauerZeitung: Einbürgerung: Aarburg fühlt sich vom Kanton hintergenagen – SVP-Bircher: «Ohrfeige für Gemeinderat» https://t.co/yaGcy…,einbürgerung aarburg fühlen kanton hintergenagen svp bircher ohrfeigen gemeinderat,,,,,,,,,,,,,,,,"{'Einbürgerung': 1.0, 'Aarburg': 0.1, 'fühlt': 0.17, 'sich': 0, 'vom': 0.02, 'Kanton': 0.04, 'hintergenagen': 0, '–': 0, 'SVP-Bircher': 0, '«': 0, 'Ohrfeige': 0, 'für': 0, 'Gemeinderat': 0, '»': 0}",neutral,"[0.84201187, 0.13358204, 0.02440617]",,,,neutral
0.0,0.0,0.0,-0.85,neutral,wenn der #Kanton zusätzlich auf die Beschwerdemöglichkeit hinweist bei abgelehnten #Einbürgerungen https://t.co/OwEQqra3zu,kanton zusätzlich beschwerdemöglichkeit hinweisen abgelehnt einbürgerungen,,,,,,,,,,,,,,,,"{'wenn': 0.11, 'der': 0.08, 'Kanton': 0.06, 'zusätzlich': 0, 'auf': 0, 'die': 0.08, 'Beschwerdemöglichkeit': 0, 'hinweist': 0, 'bei': 0, 'abgelehnten': 1.0, 'Einbürgerungen': 1.0}",negative,"[0.26246604, 0.59568274, 0.1418513]",,,,negative
50.0,75.0,57.0,0.0,neutral,Entwicklungshilfe sofort stoppen um die Notlage in der Schweiz zu mildern #COVID2019,entwicklungshilfe sofort stoppen notlage schweiz mildern covid2019,,,,,,,,,,,,,,,,,,,"{'Entwicklungshilfe': 0.96, 'sofort': 1.0, 'stoppen': 1.0, 'um': 0, 'die': 0.14, 'Notlage': 0, 'in': 0.13, 'der': 0.14, 'Schweiz': 0.12, 'zu': 0.42, 'mildern': 0, 'COVID2019': 0.4}",positive,"[0.00077582593, 0.003913258, 0.99531096]",neutral
0.0,0.0,0.0,-1.0,negative,"RT @SchlaepferThe: Unglaublich, Schweiz zahlt wahrscheinlich Äthiopien noch Entwicklungshilfe. Wie dumm sind wir Schweizer eigentlich? http…",unglaublich schweiz zahlen wahrscheinlich äthiopien entwicklungshilfe dumm schweizer eigentlich http,,,,,,,,,,,,,,,,,,,"{'Unglaublich': 0, 'Schweiz': 0.13, 'zahlt': 0, 'wahrscheinlich': 0.11, 'Äthiopien': 0.14, 'noch': 0.09, 'Entwicklungshilfe': 0.1, 'Wie': 0, 'dumm': 0.15, 'sind': 0.1, 'wir': 0, 'Schweizer': 0.13, 'eigentlich': 0.25, 'http': 1.0, '…': 0}",neutral,"[0.57185704, 0.28410724, 0.1440357]",negative
