answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Cannabis: Kriminalbeamte für Legalisierung https://t.co/CEnPJHoCRt via @wordpressdotcom,cannabis kriminalbeamte legalisierung via,"{'Cannabis': 0.54, 'Kriminalbeamte': 0.41, 'für': 0.39, 'Legalisierung': 0.25, 'via': 0.2}",neutral,"[0.9594057, 0.010722687, 0.029871607]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,«K2 ist ein Gift»: New York sagt synthetischem Cannabis den Kampf an - https://t.co/8YePBPc9lk via @watson_news,k2 gift new york sagen synthetisch cannabis kampf via,"{'«': 0, 'K2': 0, 'ist': 0, 'ein': 0, 'Gift': 0, '»': 0, 'New': 0, 'York': 0, 'sagt': 0, 'synthetischem': 0, 'Cannabis': 0, 'den': 0, 'Kampf': 0, 'an': 0, 'via': 0}",positive,"[0.4237734, 0.010930734, 0.5652958]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Pirat Wäckerlin: «Cannabis- und Nacktwanderverbot gehören abgeschafft!» - http://t.co/ALnoRztVsR via @watson_news,pirat wäckerlin cannabis nacktwanderverbot gehören abschaffen via,"{'Pirat': 0.33, 'Wäckerlin': 0, '«': 0, 'Cannabis-': 0, 'und': 0, 'Nacktwanderverbot': 0, 'gehören': 0, 'abgeschafft': 0, '»': 0, 'via': 0}",neutral,"[0.78881973, 0.09590953, 0.11527073]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,http://t.co/2VcPoIXOFB - Cannabis für kranke Italiener - Armee übernimmt Anbau http://t.co/RVmPUE3Q26 via @news_ch,cannabis krank italiener armee übernehmen anbau via,"{'Cannabis': 1.0, 'für': 0.69, 'kranke': 0.34, 'Italiener': 0, 'Armee': 0.21, 'übernimmt': 0.175, 'Anbau': 0.44, 'via': 0.23}",neutral,"[0.83613056, 0.010919887, 0.15294954]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @dravenstales: Cannabis-Clubs: Genf und Basel kommen vor Bern zum Zug -... http://t.co/UvQPzlVYEq,cannabis clubs genf basel kommen bern zug,"{'Cannabis-Clubs': 0, 'Genf': 0.31, 'und': 0.14, 'Basel': 0.23, 'kommen': 0.08, 'vor': 0.06, 'Bern': 0.19, 'zum': 0.07500000000000001, 'Zug': 0, '...': 0}",neutral,"[0.8231763, 0.012999443, 0.16382422]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @gesundheitd: Gericht erlaubt Schmerzpatienten Cannabis-Anbau: http://t.co/VIK9VcFQgr #cannabis #drogen,gericht erlauben schmerzpatienten cannabis anbau cannabis drogen,"{'Gericht': 0.13, 'erlaubt': 0, 'Schmerzpatienten': 0.18, 'Cannabis-Anbau': 0.16, 'cannabis': 0.16, 'drogen': 0.25}",neutral,"[0.6383111, 0.007339863, 0.354349]",,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,RT @aerztezeitung: Cannabis : Schmerzpatienten klagen auf Eigenanbau http://t.co/j3SX7Fp5zo,cannabis schmerzpatienten klagen eigenanbau,"{'Cannabis': 0.33, 'Schmerzpatienten': 0.26, 'klagen': 1.0, 'auf': 0, 'Eigenanbau': 0}",neutral,"[0.97920334, 0.017581053, 0.0032156035]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Kommission lanciert Diskussion um Cannabis-Liberalisierung neu http://t.co/v0Y0Ysp5wQ via @1815_online,kommission lanciert diskussion cannabis liberalisierung neu via,"{'Kommission': 0.98, 'lanciert': 0, 'Diskussion': 1.0, 'um': 0, 'Cannabis-Liberalisierung': 0.38, 'neu': 0, 'via': 0.3}",neutral,"[0.8307707, 0.0050462987, 0.16418308]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,20 Minuten - Johnson&amp;Johnson führt Vaterschaftsurlaub ein - News https://t.co/U8krYJAgAd via @20min https://t.co/9Zqz1HmfCP,minuten johnson amp johnson führen vaterschaftsurlaub news via,,,,"{'Minuten': 0.3, 'Johnson&amp;Johnson': 0, 'führt': 0, 'Vaterschaftsurlaub': 0.685, 'ein': 0, 'News': 0.35, 'via': 0.32}",neutral,"[0.87984616, 0.0032370538, 0.11691682]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,20 Minuten - Johnson&amp;Johnson führt Vaterschaftsurlaub ein - News https://t.co/U8krYJAgAd via @20min,minuten johnson amp johnson führen vaterschaftsurlaub news via,,,,"{'Minuten': 0.3, 'Johnson&amp;Johnson': 0, 'führt': 0, 'Vaterschaftsurlaub': 0.685, 'ein': 0, 'News': 0.35, 'via': 0.32}",neutral,"[0.87984616, 0.0032370538, 0.11691682]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,Sorry Papis: Der Nationalrat verwehrt euch den zweiwöchigen Vaterschaftsurlaub https://t.co/Ps9HOd6b6m via @watson_news,sorry papis nationalrat verwehren zweiwöchigen vaterschaftsurlaub via,,,,"{'Sorry': 0.3, 'Papis': 0.13, 'Der': 0.27, 'Nationalrat': 0.3, 'verwehrt': 0, 'euch': 0.63, 'den': 0.27, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.5, 'via': 0.23}",negative,"[0.43300626, 0.50839555, 0.058598213]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Die Ethik der neuen Methoden des Organspendens - SWI swissinfo.ch http://t.co/Ht4lfSGqtF @swissinfo_de,ethik neu methoden organspendens swi swissinfo ch,,,,,,,"{'Die': 0.09, 'Ethik': 0.2, 'der': 0.09, 'neuen': 0.1, 'Methoden': 0.13, 'des': 0, 'Organspendens': 0, 'SWI': 0.31, 'swissinfo.ch': 0}",positive,"[0.0075974558, 0.0023381843, 0.9900643]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,Organspende-Ausweis in Form der App echo112: http://t.co/Rn0j7DvQnF,organspende ausweis form app echo112,,,,,,,"{'Organspende-Ausweis': 0.87, 'in': 0.49, 'Form': 0.57, 'der': 0.17, 'App': 0.17, 'echo112': 0.34}",neutral,"[0.8076696, 0.0049527753, 0.18737772]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @cicero_online: Sterbehilfe - „Wir brauchen den ärztlich assistierten Suizid“  http://t.co/RGF3kYkbQx #cicero_online,sterbehilfe brauchen ärztlich assistieren suizid cicero_online,,,,,,,,,,"{'Sterbehilfe': 1.0, '„': 0, 'Wir': 0, 'brauchen': 0, 'den': 0, 'ärztlich': 0, 'assistierten': 0, 'Suizid': 0, '“': 0, 'cicero_online': 0}",neutral,"[0.9252394, 0.024749115, 0.05001143]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @frei_denken: Zum Tag der Menschenrechte (2) in Zürich: Sterbehilfe im Strafvollzug - (wie) geht das? Podium an der Uni ZH http://t.co/N…,tag menschenrechte zürich sterbehilfe strafvollzug gehen podium uni zh,,,,,,,,,,"{'Zum': 0.03, 'Tag': 0, 'der': 0.03, 'Menschenrechte': 0.13, 'in': 0.28, 'Zürich': 0, 'Sterbehilfe': 1.0, 'im': 0, 'Strafvollzug': 0, 'wie': 0.16, 'geht': 0, 'das': 0, 'Podium': 0.17, 'an': 0, 'Uni': 0, 'ZH': 0.07}",neutral,"[0.7504523, 0.02442373, 0.22512406]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @FlohEinstein: Sterbehilfe im Strafvollzug (wie) geht das? Podium am 10.12. http://t.co/VI0LnnoaRX (via @frei_denken),sterbehilfe strafvollzug gehen podium via,,,,,,,,,,"{'Sterbehilfe': 0.29, 'im': 0, 'Strafvollzug': 0, 'wie': 0.15, 'geht': 0, 'das': 0, 'Podium': 1.0, 'am': 0, '10.12.': 0, 'via': 0.2}",neutral,"[0.9660344, 0.009144511, 0.02482105]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,KrüppelStolz - Selbstbestimmtes Leben: Sterbehilfe - Designer-Babies - geklonte Embryonen... http://t.co/EgJtIQOzG6,krüppelstolz selbstbestimmtes leben sterbehilfe designer babies geklont embryonen,,,,,,,,,,"{'KrüppelStolz': 0, 'Selbstbestimmtes': 0, 'Leben': 0.9, 'Sterbehilfe': 1.0, 'Designer-Babies': 0, 'geklonte': 0, 'Embryonen': 0.12, '...': 0}",positive,"[0.022211133, 0.00207378, 0.9757151]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @grundeinkommen: Mindestlohn und Grundeinkommen - Unterschiede und Perspektiven:

«Die Abstimmung über den Mindestlohn und auch... http:…",mindestlohn grundeinkommen unterschiede perspektiven abstimmung mindestlohn http,,,,,,,,,,,,,"{'Mindestlohn': 0, 'und': 0, 'Grundeinkommen': 0.045, 'Unterschiede': 0.05, 'Perspektiven': 0.05, '«': 0, 'Die': 0, 'Abstimmung': 0, 'über': 0, 'den': 0, 'auch': 0, '...': 0, 'http': 0, '…': 0}",neutral,"[0.77733046, 0.0077674794, 0.21490216]",,,,,,,,,,,,,neutral
