answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"RT @FDP_Liberalen: Es braucht einen flexiblen #Elternurlaub, denn ein #Vaterschaftsurlaub zementiert nur das traditionelle Rollenbild. Die…",brauchen flexibel elternurlaub vaterschaftsurlaub zementieren traditionell rollenbild,"{'Es': 0.44, 'braucht': 0, 'einen': 0, 'flexiblen': 0.63, 'Elternurlaub': 0.165, 'denn': 0, 'ein': 0, 'Vaterschaftsurlaub': 0.16, 'zementiert': 0, 'nur': 0.1, 'das': 0, 'traditionelle': 0.05, 'Rollenbild': 0.055, 'Die': 0.1, '…': 0}",neutral,"[0.4911593, 0.06783958, 0.4410011]",,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"@lac_lehmann @thef35 @FDP_Liberalen @spschweiz @seilergraf Es handelt sich nicht um einen Bomber (das wäre z.B. der B1, B2 oder B-52)! Es ist ein Mehrzweckkampfflugzeug, wie die der anderen Bewerber auch! Dieses falsche Framing von Linken ist ärgerlich. Bei Journalisten ist es unseriös!",handeln bomber z b b1 b2 b mehrzweckkampfflugzeug bewerber falsch framing link ärgerlich journalisten unseriös,,,,"{'Es': 0.08, 'handelt': 0, 'sich': 0, 'nicht': 0.13, 'um': 1.0, 'einen': 1.0, 'Bomber': 0.05, 'das': 0.01, 'wäre': 0.02, 'z.B.': 0, 'der': 0.03, 'B1': 0.02, 'B2': 0.05, 'oder': 0.03, 'B-52': 0, 'ist': 0.08, 'ein': 0, 'Mehrzweckkampfflugzeug': 1.0, 'wie': 0, 'die': 0.03, 'anderen': 0, 'Bewerber': 0.12, 'auch': 0, 'Dieses': 0.21, 'falsche': 0, 'Framing': 0.11, 'von': 0.05, 'Linken': 0.07, 'ärgerlich': 0.58, 'Bei': 0, 'Journalisten': 0.1, 'es': 0.08, 'unseriös': 0}",negative,"[0.27199346, 0.69489104, 0.0331155]",,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,Unser Komitee @sicherheit_ja ist bereit für die Arena-Aufzeichnung zur Beschaffung neuer Kampfflugzeuge. Freue mich auf die Debatte @Violapamherd @HurterThomas @beatflach #air2030 #abst20 #srfarena https://t.co/7pupKX0z2c,komitee bereiten arena aufzeichnung beschaffung neu kampfflugzeuge freuen debatte air2030 abst20 srfarena,,,,"{'Unser': 0.04, 'Komitee': 0.06, 'ist': 0.06, 'bereit': 0.06, 'für': 0.04, 'die': 0.24, 'Arena-Aufzeichnung': 0.07, 'zur': 0.35, 'Beschaffung': 0.04, 'neuer': 0, 'Kampfflugzeuge': 0.09, 'Freue': 0, 'mich': 0, 'auf': 0, 'Debatte': 0.42, 'air2030': 0.18, 'abst20': 0.09, 'srfarena': 0.12}",neutral,"[0.5526453, 0.155406, 0.29194865]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @hauser_info: AWG Luzern in Sempach: „Braucht die Schweiz neue Kampfflugzeuge?“ Ja, zum Schutz der Menschen in unserem Land! @Violapamhe…",awg luzern sempach brauchen schweiz neue kampfflugzeuge ja schutz menschen land,,,,"{'AWG': 0.07, 'Luzern': 0.1, 'in': 0, 'Sempach': 0.1, '„': 0, 'Braucht': 0, 'die': 0, 'Schweiz': 0, 'neue': 0, 'Kampfflugzeuge': 0, '“': 0, 'Ja': 0, 'zum': 0, 'Schutz': 0, 'der': 0, 'Menschen': 0, 'unserem': 0, 'Land': 0, '…': 0}",positive,"[0.34954166, 0.07483693, 0.5756214]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"""Kauft Drohnen und -abwehrsysteme statt Kampfflugzeuge"" - sagt der Verkäufer von Drohnen und -abwehrsystemen, der auch Berater der Consultingfirma ist, die das ""alternative"" SP-Konzept erstellt hat. 🤦‍♂️ #srf_fail ⁦@SRF⁩ @sicherheit_ja⁩  https://t.co/LKOaF6I8cc",kaufen drohnen abwehrsysteme statt kampfflugzeuge sagen verkäufer drohnen abwehrsystemen berater consultingfirma alternative sp konzept erstellen srf_fail,,,,"{'Kauft': 0, 'Drohnen': 0.18, 'und': 0.05, '-abwehrsysteme': 0.12, 'statt': 0.245, 'Kampfflugzeuge': 0, 'sagt': 0.11, 'der': 0.04, 'Verkäufer': 0.09, 'von': 0, '-abwehrsystemen': 0.12, 'auch': 0.01, 'Berater': 0, 'Consultingfirma': 0, 'ist': 0.02, 'die': 0.04, 'das': 0.01, 'alternative': 0.05, 'SP-Konzept': 0.05500000000000001, 'erstellt': 0.03, 'hat': 0, '🤦': 0, '\u200d️': 0, 'srf_fail': 0, '\u2066\u2069': 0, '\u2069': 0}",neutral,"[0.8011114, 0.1791509, 0.019737734]",,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,RT @sicherheit_ja: Jetzt die überparteiliche Medienkonferenz für die Beschaffung neuer Kampfflugzeuge verfolgen. mit @ThierryBurkart @Haebe…,überparteilich medienkonferenz beschaffung neu kampfflugzeuge verfolgen,,,,"{'Jetzt': 0.24, 'die': 0.08, 'überparteiliche': 0, 'Medienkonferenz': 0.29500000000000004, 'für': 0.13, 'Beschaffung': 0.29, 'neuer': 0, 'Kampfflugzeuge': 0, 'verfolgen': 0, 'mit': 1.0, '…': 0}",neutral,"[0.87359947, 0.0128440065, 0.11355651]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @sicherheit_ja: Die @grunliberale sagen JA zur Beschaffung neuer Kampfflugzeuge! Grünliberale wissen: Es braucht für jede Situation den…,sagen ja beschaffung neu kampfflugzeuge grünliberale wissen brauchen jed situation,,,,"{'Die': 1.0, 'sagen': 0.065, 'JA': 0, 'zur': 0.525, 'Beschaffung': 0.25, 'neuer': 0, 'Kampfflugzeuge': 0, 'Grünliberale': 0.05, 'wissen': 0.07500000000000001, 'Es': 0, 'braucht': 1.0, 'für': 0, 'jede': 0.32, 'Situation': 0.5, 'den': 1.0, '…': 0}",positive,"[0.011736459, 0.002826986, 0.9854366]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @vbs_ddps: Deutliches JA an der ersten online DV der #EVP zur #Abstimmungsvorlage  Beschaffung neuer #kampfflugzeuge. Die Delegierten si…,deutlich ja erst online dv evp abstimmungsvorlage beschaffung neu kampfflugzeuge delegieren si,,,,"{'Deutliches': 0.03, 'JA': 0, 'an': 0, 'der': 0.09, 'ersten': 0.05, 'online': 0.09, 'DV': 0.06, 'EVP': 0.08, 'zur': 0.06, 'Abstimmungsvorlage': 0.255, 'Beschaffung': 1.0, 'neuer': 0, 'kampfflugzeuge': 0.51, 'Die': 0.09, 'Delegierten': 0.19, 'si': 0, '…': 0}",neutral,"[0.9074578, 0.020761536, 0.07178065]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Der Ständerat hat eben einstimmig Ja gesagt zur Erhöhung des Zahlungsrahmens für die Armee 2021-2024 um 1.4 Prozent. Das ist ein indirektes einstimmiges Ja zur Beschaffung und Finanzierung neuer Kampfflugzeuge! @sicherheit_ja @FDP_Liberalen @Haesler_Sansano,ständerat eben einstimmig ja sagen erhöhung zahlungsrahmens armee prozent indirekt einstimmig ja beschaffung finanzierung neu kampfflugzeuge,,,,"{'Der': 0.15, 'Ständerat': 0.13, 'hat': 0, 'eben': 0, 'einstimmig': 0.03, 'Ja': 0.12, 'gesagt': 0.03, 'zur': 0.12, 'Erhöhung': 0, 'des': 0, 'Zahlungsrahmens': 0.115, 'für': 0.04, 'die': 0.15, 'Armee': 0.34, 'um': 0, '1.4': 0, 'Prozent': 0.07, 'Das': 0.15, 'ist': 0.05, 'ein': 0, 'indirektes': 0.09, 'einstimmiges': 0.07, 'Beschaffung': 0.39, 'und': 0.12, 'Finanzierung': 0.52, 'neuer': 0, 'Kampfflugzeuge': 0}",positive,"[0.21046177, 0.034496076, 0.75504214]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Eine der prominentesten Gripen-Gegnerinnen unterstützt die Beschaffung neuer #Kampfflugzeuge. Das heisst doch etwas! Danke @ChantalGallade @sicherheit_ja #air2030 #nkf @vbs_ddps https://t.co/WQD2Ia5oU4,prominent gripen gegnerinnen unterstützen beschaffung neu kampfflugzeuge heisst danke air2030 nkf,,,,"{'Eine': 0.07, 'der': 0.18, 'prominentesten': 0.1, 'Gripen-Gegnerinnen': 0.165, 'unterstützt': 0.3, 'die': 0.18, 'Beschaffung': 0.84, 'neuer': 0, 'Kampfflugzeuge': 0, 'Das': 0.18, 'heisst': 0, 'doch': 0, 'etwas': 0.08, 'Danke': 0.08, 'air2030': 0.13, 'nkf': 0.09}",positive,"[0.10732739, 0.035962783, 0.85670984]",,,,,,,,,,,,,,,,,,,,,,positive
