answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3439,absa_sentiment_3439,absa_scores_3439,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @jungegruene_ch: In ein paar Monaten werden die Bürgerlichen wieder sagen, dass wir uns Mindestlöhne, Vaterschaftsurlaub oder ein Grunde…",paar monaten bürgerlich sagen mindestlöhne vaterschaftsurlaub grunde,"{'In': 0.08, 'ein': 0, 'paar': 0, 'Monaten': 0.28, 'werden': 0.22, 'die': 0.16, 'Bürgerlichen': 0, 'wieder': 0.37, 'sagen': 0.46, 'dass': 0.45, 'wir': 0, 'uns': 0, 'Mindestlöhne': 0.515, 'Vaterschaftsurlaub': 0.71, 'oder': 0.83, 'Grunde': 0, '…': 0}",neutral,"[0.8391921, 0.021286242, 0.13952163]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @jgbnordwest: Dieses Profilbild streikt, wir auch! Heute ist Frauen*streik. Alle auf die Strasse für Lohngleichheit, Anerkennung der Car…",profilbild streiken heute frauen streik all strasse lohngleichheit anerkennung car,,,,"{'Dieses': 0.03, 'Profilbild': 0.05, 'streikt': 0.27, 'wir': 0, 'auch': 0, 'Heute': 0.07, 'ist': 0.07, 'Frauen*streik': 0.1225, 'Alle': 0, 'auf': 0.16, 'die': 0.09, 'Strasse': 0, 'für': 1.0, 'Lohngleichheit': 0.79, 'Anerkennung': 0.39, 'der': 0.09, 'Car': 0.12, '…': 0}",positive,"[0.0052529285, 0.0011849296, 0.9935621]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@bzJermann Naja, trotzdem klingt es so als hätten wir eine Gleichstellung der Geschlechter bereits erreicht. Dem ist aber leider nicht so. Frauen* müssen in diesem Land nach wie vor für ihre Rechte kämpfen. Siehe #Lohngleichheit usw.",naja trotzdem klingen gleichstellung geschlechter bereits erreichen leider frauen müssen land rechte kämpfen siehe lohngleichheit usw,,,,"{'Naja': 0.03, 'trotzdem': 0.06, 'klingt': 0.06, 'es': 0.05, 'so': 0.06, 'als': 0, 'hätten': 0.06, 'wir': 0, 'eine': 0, 'Gleichstellung': 0.09, 'der': 0, 'Geschlechter': 0, 'bereits': 0.02, 'erreicht': 0.04, 'Dem': 0.04, 'ist': 0.05, 'aber': 0, 'leider': 0.05, 'nicht': 0.12, 'Frauen': 0.08, 'müssen': 0.05, 'in': 0.05, 'diesem': 0.06, 'Land': 0, 'nach': 0, 'wie': 0, 'vor': 0, 'für': 0.05, 'ihre': 0.09, 'Rechte': 0, 'kämpfen': 0, 'Siehe': 0, 'Lohngleichheit': 0.565, 'usw.': 0}",neutral,"[0.89599425, 0.009349273, 0.09465654]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @LauraSchwab10: Wir sind bereit 💪🏽 #lohngleichheit #jetzt#enough https://t.co/cIWGWj9SQq,bereiten lohngleichheit enough,,,,"{'Wir': 0.18, 'sind': 0.21, 'bereit': 1.0, 'lohngleichheit': 0.625, 'jetzt#enough': 0.40249999999999997}",positive,"[0.019992486, 0.0018629621, 0.9781446]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @GrueneCH: NEIN zur STAF-Abbauspirale! 📉 Die neue Unternehmenssteuerreform verstärkt den schädlichen Wettbewerb zwischen Kantonen und St…,nein staf abbauspirale neue unternehmenssteuerreform verstärken schädlich wettbewerb kantonen st,,,,,,,"{'NEIN': 0.03, 'zur': 0.22, 'STAF-Abbauspirale': 0.0475, 'Die': 0.42, 'neue': 0.06, 'Unternehmenssteuerreform': 0.10250000000000001, 'verstärkt': 0, 'den': 0.42, 'schädlichen': 1.0, 'Wettbewerb': 0, 'zwischen': 0.22, 'Kantonen': 0.11, 'und': 0.05, 'St': 0.04, '…': 0}",negative,"[0.001353559, 0.9920379, 0.006608472]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @kriegsgeschaeft: BREAKING: Die Pensionskasse der Stadt Lausanne verzichtet ab sofort auf die Finanzierung von Kriegsmaterialproduzenten…,breaking pensionskasse stadt lausanne verzichten ab sofort finanzierung kriegsmaterialproduzenten,,,,,,,,,,"{'BREAKING': 0.02, 'Die': 0.26, 'Pensionskasse': 0.125, 'der': 0.26, 'Stadt': 0.06, 'Lausanne': 0.04, 'verzichtet': 0, 'ab': 0, 'sofort': 0, 'auf': 0, 'die': 0.26, 'Finanzierung': 1.0, 'von': 0, 'Kriegsmaterialproduzenten': 0.5399999999999999, '…': 0}",neutral,"[0.7096295, 0.027832694, 0.2625379]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @RegulaRytz: Meine Frage an jeden einzelnen #Kriegsmaterial-Verkäufer auf der Liste: Wie viele Bürgerkriegsopfer nehmt ihr persönlich be…,fragen jed einzeln kriegsmaterial verkäufer liste bürgerkriegsopfer nehmen persönlich be,,,,,,,,,,"{'Meine': 0.02, 'Frage': 0, 'an': 0, 'jeden': 0.06, 'einzelnen': 0, 'Kriegsmaterial-Verkäufer': 0.045, 'auf': 0.03, 'der': 0.04, 'Liste': 0, 'Wie': 0, 'viele': 0, 'Bürgerkriegsopfer': 0.1175, 'nehmt': 0, 'ihr': 0, 'persönlich': 0.14, 'be': 0, '…': 0}",neutral,"[0.9659472, 0.013481285, 0.020571554]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @grueneBL: Als erster Grüner in der Schweiz übernimmt @isaacreber die Bau- und Umweltschutzdirektion #grüngewinnt https://t.co/Z7Xa72Z4Ag,erst grün schweiz übernehmen bau umweltschutzdirektion grüngewinnt,,,,,,,,,,,,,"{'Als': 0, 'erster': 0.15, 'Grüner': 0, 'in': 0.07, 'der': 0.13, 'Schweiz': 0.14, 'übernimmt': 0.11, 'die': 0.13, 'Bau-': 0, 'und': 0.13, 'Umweltschutzdirektion': 0.23500000000000001, 'grüngewinnt': 0.815}",positive,"[0.01616874, 0.0032746012, 0.9805566]",,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,neutral,"@isaacreber wird Vorsteher der Bau- und Umweltschutzdirektion😃👍
Jetzt kann es endlich vorwärtsgehen in der Verkehrspolitik! Wir brauchen ein schnelles &amp; sicheres Radroutennetz für Pendler*innen und nicht den kurzsichtigen Strassenwahn der letzten Jahre. https://t.co/i6PedOYL71",vorsteher bau umweltschutzdirektion endlich vorwärtsgehen verkehrspolitik brauchen schnell amp sicher radroutennetz pendler innen kurzsichtig strassenwahn letzt jahre,,,,,,,,,,,,,"{'wird': 0, 'Vorsteher': 0, 'der': 0.04, 'Bau-': 0, 'und': 0.04, 'Umweltschutzdirektion': 0.165, 'Jetzt': 0.19, 'kann': 0.12, 'es': 0, 'endlich': 0, 'vorwärtsgehen': 0.1, 'in': 0.14, 'Verkehrspolitik': 0.23, 'Wir': 0.31, 'brauchen': 0.95, 'ein': 0, 'schnelles': 0.12, 'amp': 0.06, 'sicheres': 0, 'Radroutennetz': 0.05500000000000001, 'für': 0.05, 'Pendler*innen': 0, 'nicht': 0.13, 'den': 0.04, 'kurzsichtigen': 0, 'Strassenwahn': 0.045000000000000005, 'letzten': 0, 'Jahre': 0.05}",positive,"[0.04831542, 0.021063646, 0.93062097]",,,,,,,,,,,,,neutral
50.0,25.0,57.0,-0.1,neutral,"RT @jGruene_jVertEs: Heute hat die Schweiz eine grosse Chance für mehr Natur- und Umweltschutz verpasst. Schade! 
Kämpfst du mit uns weiter…",heute schweiz grosse chance mehr natur umweltschutz verpasst schaden kämpfen weit,,,,,,,,,,,,,"{'Heute': 0.04, 'hat': 0, 'die': 0, 'Schweiz': 0.05, 'eine': 0, 'grosse': 0, 'Chance': 0, 'für': 0.2, 'mehr': 0.34, 'Natur-': 0, 'und': 1.0, 'Umweltschutz': 0.725, 'verpasst': 0, 'Schade': 0, 'Kämpfst': 0, 'du': 0, 'mit': 0.02, 'uns': 0.02, 'weiter': 0, '…': 0}",positive,"[0.002425679, 0.0053191525, 0.9922552]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Erster Tag in #Istanbul . Kaum Sicherheitskräfte dafür überall türkische Fahnen in der Öffentlichkeit und auf Autos. https://t.co/NHxI9QZOzs,erst tag istanbul kaum sicherheitskräfte dafür überall türkisch fahnen öffentlichkeit autos,,,,,,,,,,,,,,,,"{'Erster': 0.08, 'Tag': 0, 'in': 0.03, 'Istanbul': 0.06, 'Kaum': 0, 'Sicherheitskräfte': 0.24, 'dafür': 0, 'überall': 0, 'türkische': 0.05, 'Fahnen': 0.04, 'der': 0, 'Öffentlichkeit': 0, 'und': 0.04, 'auf': 0.03, 'Autos': 0}",negative,"[0.20801565, 0.7554425, 0.036541875]",,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,negative,"RT @jGruene_jVertEs: ""Klimaschutz zu propagieren und gleichzeitig den Strassenverkehr zu fördern ist ein Widerspruch» kritisiert @luzian_fr…",klimaschutz propagieren gleichzeitig strassenverkehr fördern widerspruch kritisieren,,,,,,,,,,,,,,,,,,,"{'Klimaschutz': 0.28500000000000003, 'zu': 0, 'propagieren': 0, 'und': 0.26, 'gleichzeitig': 0, 'den': 0.13, 'Strassenverkehr': 0.745, 'fördern': 0, 'ist': 0.4, 'ein': 0, 'Widerspruch': 0.49, '»': 0, 'kritisiert': 0, '…': 0}",positive,"[0.102168515, 0.30221027, 0.5956212]",,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,RT @VCSbeiderBasel: Salina Raurica ist heute nur «gering» oder «mittelmässig» mit dem öffentlichen Verkehr erschlossen: Das zeigt die Karte…,salina raurica heute gering mittelmässig öffentlich verkehr erschließen zeigen karte,,,,,,,,,,,,,,,,,,,,,,"{'Salina': 0.04, 'Raurica': 0.05, 'ist': 0.06, 'heute': 0.05, 'nur': 0.07, '«': 0, 'gering': 0, '»': 0, 'oder': 0, 'mittelmässig': 0, 'mit': 0, 'dem': 0, 'öffentlichen': 0, 'Verkehr': 0, 'erschlossen': 0, 'Das': 0, 'zeigt': 0, 'die': 0, 'Karte': 0, '…': 0}",neutral,"[0.82064277, 0.044509836, 0.1348474]",,,,negative
50.0,75.0,57.0,0.0,neutral,RT @VCSbeiderBasel: Ab morgen Montag gilt die Maskenpflicht 😷 für Personen über 12 Jahren überall im öffentlichen Verkehr. Wir rufen alle d…,ab morgen montag gelten maskenpflicht personen jahren überall öffentlich verkehr rufen all d,,,,,,,,,,,,,,,,,,,,,,"{'Ab': 0, 'morgen': 0.09, 'Montag': 0.08, 'gilt': 0, 'die': 0.07, 'Maskenpflicht': 0.12000000000000001, 'für': 0.05, 'Personen': 0, 'über': 0.04, '12': 0, 'Jahren': 0, 'überall': 0.30000000000000004, 'im': 0, 'öffentlichen': 0.1, 'Verkehr': 0, 'Wir': 0.35, 'rufen': 1.0, 'alle': 0, 'd': 1.0, '…': 0}",neutral,"[0.91873044, 0.04263498, 0.038634595]",,,,neutral
100.0,100.0,86.0,0.7,neutral,@Eeebual @nr_mayagraf @zersiedelung Bauten für die bodenabhängige Landwirtschaft werden ausserhalb der Bauzone auch weiterhin möglich sein. Dazu gehören auch Gewächshäuser und Ställe. Ausser natürlich Sie pflanzen Ihre Tomaten nicht in Erde sondern Kunststoff...,bauten bodenabhängige landwirtschaft ausserhalb bauzone weiterhin möglich gehören gewächshäuser ställe ausser natürlich pflanzen tomaten erde kunststoff,,,,,,,,,,,,,,,,,,,,,,,,,"{'Bauten': 0.19, 'für': 0.2, 'die': 0.06, 'bodenabhängige': 1.0, 'Landwirtschaft': 1.0, 'werden': 0.07, 'ausserhalb': 0.04, 'der': 0.06, 'Bauzone': 0, 'auch': 0.03, 'weiterhin': 0, 'möglich': 0.07, 'sein': 0, 'Dazu': 0.02, 'gehören': 0, 'Gewächshäuser': 0.11, 'und': 0.03, 'Ställe': 0, 'Ausser': 0, 'natürlich': 0, 'Sie': 0, 'pflanzen': 0.04, 'Ihre': 0.02, 'Tomaten': 0.06, 'nicht': 0, 'in': 0.02, 'Erde': 0, 'sondern': 0.02, 'Kunststoff': 0.05, '...': 0}",neutral,"[0.5742333, 0.06370641, 0.36206025]",positive
0.0,0.0,0.0,-1.0,neutral,"RT @JknBaumgartner: Eine andere Welt ist möglich. Eine andere Landwirtschaft ist nötig!
#MarchAgainstMonsanto @MaMS_basel https://t.co/BRVB…",welt möglich landwirtschaft nötigen marchagainstmonsanto,,,,,,,,,,,,,,,,,,,,,,,,,"{'Eine': 0, 'andere': 0, 'Welt': 0.31, 'ist': 0.38, 'möglich': 0.21, 'Landwirtschaft': 1.0, 'nötig': 0, 'MarchAgainstMonsanto': 0.98}",positive,"[0.026942873, 0.013030082, 0.96002704]",negative
0.0,0.0,0.0,-1.0,neutral,RT @grueneBL: 19.5.2018 Basel. An den March against Syngenta! Eine andere Welt ist möglich. Eine andere Landwirtschaft ist nötig! https://t…,basel march against syngenta welt möglich landwirtschaft nötigen,,,,,,,,,,,,,,,,,,,,,,,,,"{'19.5.2018': 0, 'Basel': 0.27, 'An': 0, 'den': 0.1, 'March': 0.17, 'against': 0.17, 'Syngenta': 0.39, 'Eine': 0, 'andere': 0, 'Welt': 0.57, 'ist': 0.45, 'möglich': 0.25, 'Landwirtschaft': 1.0, 'nötig': 0}",positive,"[0.012930355, 0.0047229077, 0.98234665]",negative
100.0,100.0,86.0,0.7,neutral,RT @jgbnordwest: Maya Graf berichtet Spannendes im Workshop zur Schweizer Landwirtschaftspolitik in unserem Weekend! https://t.co/29RhQarWms,maya graf berichten spannend workshop schweizer landwirtschaftspolitik weekend,,,,,,,,,,,,,,,,,,,,,,,,,"{'Maya': 0.3, 'Graf': 0.23, 'berichtet': 0, 'Spannendes': 1.0, 'im': 0, 'Workshop': 0.2, 'zur': 0.16, 'Schweizer': 0.08, 'Landwirtschaftspolitik': 0.495, 'in': 0.15, 'unserem': 0.09, 'Weekend': 0.12}",positive,"[0.00517253, 0.001598926, 0.9932286]",positive
