answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
0.0,0.0,14.0,-0.7,neutral,"Genauso wie Schwangerschaft und Kindbett keine leichte Zeit sind, ist der Vaterschaftsurlaub kein zusätzliches Ferienvergnügen. @papizeit ist intensive Arbeit in der Familie und soll die Belastung gleichwertiger verteilen.
Am 27.9. Ja zum Vaterschaftsurlaub! #Abstimmung https://t.co/tHE1U3lgAE",genauso schwangerschaft kindbett leichte zeit vaterschaftsurlaub zusätzlich ferienvergnügen intensive arbeit familie belastung gleichwertig verteilen ja vaterschaftsurlaub abstimmung,"{'Genauso': 0.07, 'wie': 0, 'Schwangerschaft': 0.03, 'und': 0.05, 'Kindbett': 0, 'keine': 0, 'leichte': 0.13, 'Zeit': 0.03, 'sind': 0.04, 'ist': 0.28, 'der': 0.04, 'Vaterschaftsurlaub': 0.08, 'kein': 0, 'zusätzliches': 1.0, 'Ferienvergnügen': 0.6, 'intensive': 0.1, 'Arbeit': 0.06, 'in': 0.03, 'Familie': 0.04, 'soll': 0, 'die': 0.04, 'Belastung': 0, 'gleichwertiger': 0, 'verteilen': 0.09, 'Am': 0, '27.9.': 0, 'Ja': 0.05, 'zum': 0.07, 'Abstimmung': 0.03}",negative,"[0.08171046, 0.5656563, 0.3526333]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
75.0,75.0,71.0,0.2333333333333333,negative,"@bernerfinanzen @derbund Der Rückblick ist einfach: Defizit angekündigt, auf dem Rücken der Schwächsten Sparprogramm durchgedrückt, ""überraschenden"" Gewinn verkündet, Defizit angekündigt, SparprogrammUnd Steuersenkung (!?!) angekündigt, ... #undewiggrüsstdasMurmeltier",rückblick einfach defizit ankündigen rücken schwach sparprogramm durchdrücken überraschend gewinn verkünden defizit ankündigen sparprogrammund steuersenkung ankündigen undewiggrüsstdasmurmeltier,,,,"{'Der': 0.1, 'Rückblick': 0, 'ist': 0.08, 'einfach': 0.1, 'Defizit': 0.18, 'angekündigt': 1.0, 'auf': 0.07, 'dem': 0.1, 'Rücken': 0, 'der': 0.1, 'Schwächsten': 0.3, 'Sparprogramm': 0.175, 'durchgedrückt': 0.12, 'überraschenden': 0.12, 'Gewinn': 0.15, 'verkündet': 0, 'SparprogrammUnd': 0.22999999999999998, 'Steuersenkung': 0.44999999999999996, '...': 0, 'undewiggrüsstdasMurmeltier': 0.1}",neutral,"[0.84600294, 0.08157607, 0.07242101]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,neutral,"@Zbinden_s Da ihr euch ja ab jetzt für die Arbeiter:innen in dieser Lohnklasse aktiv stark macht, euch einsetzt für Working Poor, Mindestlohn, bessere Arbeitsbedingungen, Lohngleicheit, keine Arbeitslastzunahme, Kündigungsschutz, ect. wird das ja jetzt nicht mehr nötig sein, oder? ;-)",ja ab arbeiter innen lohnklasse aktiv stark einsetzen working poor mindestlohn gut arbeitsbedingungen lohngleicheit arbeitslastzunahme kündigungsschutz ect ja mehr nötigen,,,,,,,"{'Da': 0, 'ihr': 0, 'euch': 0.1, 'ja': 0, 'ab': 0, 'jetzt': 0.2, 'für': 0.03, 'die': 0.03, 'Arbeiter': 0.02, 'innen': 0, 'in': 0.01, 'dieser': 0.04, 'Lohnklasse': 0, 'aktiv': 0, 'stark': 0, 'macht': 0, 'einsetzt': 0, 'Working': 0.01, 'Poor': 0.07, 'Mindestlohn': 0.05, 'bessere': 0.02, 'Arbeitsbedingungen': 0.025, 'Lohngleicheit': 0.03, 'keine': 0, 'Arbeitslastzunahme': 0.02, 'Kündigungsschutz': 0.03, 'ect': 0, 'wird': 0, 'das': 0, 'nicht': 0, 'mehr': 0, 'nötig': 0.14, 'sein': 0, 'oder': 0}",positive,"[0.3424767, 0.11529099, 0.5422324]","{'Da': 0, 'ihr': 0, 'euch': 0.05, 'ja': 0, 'ab': 0, 'jetzt': 0.02, 'für': 0.06, 'die': 0.04, 'Arbeiter': 0.01, 'innen': 0, 'in': 0.09, 'dieser': 0.01, 'Lohnklasse': 0, 'aktiv': 0, 'stark': 0, 'macht': 0, 'einsetzt': 0, 'Working': 0.01, 'Poor': 0.03, 'Mindestlohn': 0.02, 'bessere': 0.03, 'Arbeitsbedingungen': 0.02, 'Lohngleicheit': 0.035, 'keine': 0, 'Arbeitslastzunahme': 0.16, 'Kündigungsschutz': 0.365, 'ect': 0, 'wird': 0, 'das': 0, 'nicht': 0, 'mehr': 0, 'nötig': 0.03, 'sein': 0, 'oder': 0}",positive,"[0.045941662, 0.005189588, 0.94886875]",,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,neutral,"@Zbinden_s Da ihr euch ja ab jetzt für die Arbeiter:innen in dieser Lohnklasse aktiv stark macht, euch einsetzt für Working Poor, Mindestlohn, bessere Arbeitsbedingungen, Lohngleicheit, keine Arbeitslastzunahme, Kündigungsschutz, ect. wird das ja jetzt nicht mehr nötig sein, oder? ;-)",ja ab arbeiter innen lohnklasse aktiv stark einsetzen working poor mindestlohn gut arbeitsbedingungen lohngleicheit arbeitslastzunahme kündigungsschutz ect ja mehr nötigen,,,,,,,"{'Da': 0, 'ihr': 0, 'euch': 0.1, 'ja': 0, 'ab': 0, 'jetzt': 0.2, 'für': 0.03, 'die': 0.03, 'Arbeiter': 0.02, 'innen': 0, 'in': 0.01, 'dieser': 0.04, 'Lohnklasse': 0, 'aktiv': 0, 'stark': 0, 'macht': 0, 'einsetzt': 0, 'Working': 0.01, 'Poor': 0.07, 'Mindestlohn': 0.05, 'bessere': 0.02, 'Arbeitsbedingungen': 0.025, 'Lohngleicheit': 0.03, 'keine': 0, 'Arbeitslastzunahme': 0.02, 'Kündigungsschutz': 0.03, 'ect': 0, 'wird': 0, 'das': 0, 'nicht': 0, 'mehr': 0, 'nötig': 0.14, 'sein': 0, 'oder': 0}",positive,"[0.3424767, 0.11529099, 0.5422324]","{'Da': 0, 'ihr': 0, 'euch': 0.05, 'ja': 0, 'ab': 0, 'jetzt': 0.02, 'für': 0.06, 'die': 0.04, 'Arbeiter': 0.01, 'innen': 0, 'in': 0.09, 'dieser': 0.01, 'Lohnklasse': 0, 'aktiv': 0, 'stark': 0, 'macht': 0, 'einsetzt': 0, 'Working': 0.01, 'Poor': 0.03, 'Mindestlohn': 0.02, 'bessere': 0.03, 'Arbeitsbedingungen': 0.02, 'Lohngleicheit': 0.035, 'keine': 0, 'Arbeitslastzunahme': 0.16, 'Kündigungsschutz': 0.365, 'ect': 0, 'wird': 0, 'das': 0, 'nicht': 0, 'mehr': 0, 'nötig': 0.03, 'sein': 0, 'oder': 0}",positive,"[0.045941662, 0.005189588, 0.94886875]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,Ich habe einen Witz über neue Kampfflugzeuge - aber er will nicht so richtig abheben.,witz neue kampfflugzeuge richtig abheben,,,,,,,,,,,,,"{'Ich': 0.13, 'habe': 0.16, 'einen': 0.15, 'Witz': 0.8, 'über': 0, 'neue': 1.0, 'Kampfflugzeuge': 0, 'aber': 0.4, 'er': 0, 'will': 0, 'nicht': 0, 'so': 0, 'richtig': 0, 'abheben': 0.14}",negative,"[0.39649862, 0.51946616, 0.08403524]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Unsere Schulleitung will uns in Zukunft mit Push-Up-Nachrichten informieren. Digitalisierung - läuft. #Schulinformatik,schulleitung zukunft push up nachrichten informieren digitalisierung laufen schulinformatik,,,,,,,,,,,,,,,,"{'Unsere': 0.11, 'Schulleitung': 0, 'will': 0, 'uns': 0.06, 'in': 0.05, 'Zukunft': 0.07, 'mit': 0.11, 'Push-Up-Nachrichten': 0.29, 'informieren': 0, 'Digitalisierung': 0, 'läuft': 0.2, 'Schulinformatik': 0.835}",positive,"[0.009484864, 0.0022553473, 0.9882598]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"base4kids 2.0 ist das ""Stuttgart 21"" unter den Schulinformatikprojekten. Der ""BER"" der pädagogischen Digitalisierung. Aber jetzt wird alles gute. Nächsten Juni... #base4kids @Bern_Stadt",base4kids stuttgart schulinformatikprojekten ber pädagogisch digitalisierung gut nächst juni base4kids,,,,,,,,,,,,,,,,"{'base4kids': 0.21, '2.0': 0, 'ist': 0.04, 'das': 0, 'Stuttgart': 0.07, 'unter': 0, 'den': 0.15, 'Schulinformatikprojekten': 0.2225, 'Der': 0.15, 'BER': 0.23, 'der': 0.15, 'pädagogischen': 1.0, 'Digitalisierung': 0, 'Aber': 0.16, 'jetzt': 0.08, 'wird': 0.05, 'alles': 0.11, 'gute': 0, 'Nächsten': 0.05, 'Juni': 0.07, '...': 0}",positive,"[0.081478424, 0.033563066, 0.88495845]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.65,negative,"@EldabiduXyz @AlainS1991 @basilanderau Es reicht ja auch, wenn 50,1% es sehen. Leute, die lieber Wege suchen, Umweltschutz zu umgehen, statt wie sie auch einen Beitrag leisten können, werde ich kaum überzeugen können. Dann flieg doch von wo anders... Your choice, your cildrens future...",reichen ja sehen leute lieb wege suchen umweltschutz umgehen statt beitrag leisten kaum überzeugen flieg your choice your cildrens future,,,,,,,,,,,,,,,,,,,"{'Es': 0.02, 'reicht': 0, 'ja': 0, 'auch': 0.07, 'wenn': 0.04, '50,1': 0, 'es': 0.02, 'sehen': 0.06, 'Leute': 0.07, 'die': 0, 'lieber': 0.24, 'Wege': 0.28, 'suchen': 0, 'Umweltschutz': 0.71, 'zu': 0.46, 'umgehen': 1.0, 'statt': 0, 'wie': 0.13, 'sie': 0, 'einen': 0.06, 'Beitrag': 0.28, 'leisten': 0, 'können': 0.045, 'werde': 0, 'ich': 0.04, 'kaum': 0, 'überzeugen': 0.14, 'Dann': 0.07, 'flieg': 0.11, 'doch': 0, 'von': 0.04, 'wo': 0, 'anders': 0, '...': 0, 'Your': 0.04, 'choice': 0.06, 'your': 0.04, 'cildrens': 0.18, 'future': 0.08}",neutral,"[0.69465905, 0.2680671, 0.03727384]",,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"Das missratene Jagdgesetz bringt wildlebende Tierarten noch stärker in Bedrängnis. JA zum #Artenschutz, NEIN zum #Abschussgesetz am 27. September 2020!

#WahlBern20 @GFLBern @JagdgesetzNein #Umweltschutz  #Stadtrat #Stadtratswahlen #WidderWal #Wiederwahl #WidmerWahl #Wolf #Biber https://t.co/lDpyHxRwCF",missratene jagdgesetz bringen wildlebende tierarten stark bedrängnis ja artenschutz nein abschussgesetz september wahlbern20 umweltschutz stadtrat stadtratswahlen widderwal wiederwahl widmerwahl wolf biber,,,,,,,,,,,,,,,,,,,"{'Das': 0.14, 'missratene': 0, 'Jagdgesetz': 0.19, 'bringt': 0.11, 'wildlebende': 0.07, 'Tierarten': 0.35, 'noch': 0, 'stärker': 0, 'in': 0, 'Bedrängnis': 0.5, 'JA': 0, 'zum': 0.15000000000000002, 'Artenschutz': 0.21, 'NEIN': 0.15, 'Abschussgesetz': 0.3, 'am': 0, '27.': 0, 'September': 0.04, 'WahlBern20': 0, 'Umweltschutz': 0.07500000000000001, 'Stadtrat': 0.02, 'Stadtratswahlen': 0.025, 'WidderWal': 0.03, 'Wiederwahl': 0, 'WidmerWahl': 0.04, 'Wolf': 0.01, 'Biber': 0}",positive,"[0.033881485, 0.03511071, 0.93100774]",,,,,,,,,,neutral
25.0,25.0,28.0,-0.35,neutral,"Ja klar - ohne #Armee kein Umweltschutz, keine Biodiversität und kein gar nichts! Nur dank der Armee haben wir überhaupt Tiere und Pflanzen! Und Natur- und Umweltschutz haben nicht die Grünen erfunden, diese Hochstapler! Sondern das 
@vbs_ddps. Hossa! https://t.co/wxCTg8YRNp https://t.co/yIxCqB4WIX",ja klaren armee umweltschutz biodiversität gar danken armee überhaupt tiere pflanzen natur umweltschutz grün erfinden hochstapler hossa,,,,,,,,,,,,,,,,,,,"{'Ja': 0.02, 'klar': 0, 'ohne': 0.12, 'Armee': 0.02, 'kein': 0.38, 'Umweltschutz': 0.02, 'keine': 0, 'Biodiversität': 0.17, 'und': 0.02, 'gar': 0.015, 'nichts': 0.28, 'Nur': 0, 'dank': 0.035, 'der': 0.01, 'haben': 0.03, 'wir': 0, 'überhaupt': 0.015, 'Tiere': 0.02, 'Pflanzen': 0, 'Und': 0.02, 'Natur-': 0, 'nicht': 0.02, 'die': 0.01, 'Grünen': 0.01, 'erfunden': 0.02, 'diese': 0, 'Hochstapler': 0, 'Sondern': 0, 'das': 0.02, 'Hossa': 0.06}",negative,"[0.03788025, 0.91466695, 0.04745276]",,,,,,,,,,negative
