answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,sentiment_tb
0.0,0.0,14.0,-0.7,neutral,"RT @fdp_zh: Neu können die #Kinderbetreuungskosten bis zu 25'000.- von den Steuern abgezogen werden.
Die Umsetzung dieser langjährigen Ford…",neu kinderbetreuungskosten steuern abziehen umsetzung langjährig ford,"{'Neu': 0, 'können': 0.07, 'die': 1.0, 'Kinderbetreuungskosten': 0.14500000000000002, 'bis': 0, 'zu': 0.05, ""25'000.-"": 0, 'von': 0.05, 'den': 1.0, 'Steuern': 0, 'abgezogen': 0.08, 'werden': 0, 'Die': 1.0, 'Umsetzung': 0.58, 'dieser': 0.26, 'langjährigen': 0, 'Ford': 0.45, '…': 0}",neutral,"[0.6283172, 0.21628143, 0.15540145]",,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.675,neutral,"@AlainS1991 Fast eine Aussage für den gaht's no Priis... - natürlich ist die Arbeitsintensität gestiegen (da gebe ich Herrn Looser sogar recht), aber deshalb keine Erhöhung des Rentenalters und weniger Arbeitszeit zu fordern, ist verkehrt: wir leben schon heute alle länger und besser den je!",fast aussagen gaht s no priis natürlich arbeitsintensität steigen geben herrn looser sogar recht deshalb erhöhung rentenalters wenig arbeitszeit fordern verkehren leben schon heute all lang gut je,,,,"{'Fast': 0, 'eine': 0, 'Aussage': 0.11, 'für': 0.04, 'den': 0.18, ""gaht's"": 0, 'no': 0.03, 'Priis': 0.08, '...': 0, 'natürlich': 0, 'ist': 0.52, 'die': 0.18, 'Arbeitsintensität': 0.24, 'gestiegen': 0, 'da': 0, 'gebe': 0, 'ich': 0.06, 'Herrn': 0.1, 'Looser': 0.12, 'sogar': 0, 'recht': 0, 'aber': 0.32, 'deshalb': 0.04, 'keine': 0, 'Erhöhung': 0.94, 'des': 0, 'Rentenalters': 0.485, 'und': 0.06, 'weniger': 0, 'Arbeitszeit': 0.1, 'zu': 0, 'fordern': 0, 'verkehrt': 0.35, 'wir': 0, 'leben': 0, 'schon': 0, 'heute': 0.03, 'alle': 0, 'länger': 0.06, 'besser': 0.06, 'je': 0.52}",neutral,"[0.45637605, 0.1475218, 0.39610222]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,positive,@retolipp Meine Antwort ist einfach: das Durchschnittsalter und die Lebensqualität steigen - das sollte sich auch im Rentenalter spiegeln. So rettet man Renten auch für künftige Generationen und die Dauer der Pensionierung wird dabei durchschnittlich nicht kürzen - das ist fair für alle,antwort einfach durchschnittsalter lebensqualität steigen sollen rentenalter spiegeln retten renten künftig generationen dauer pensionierung dabei durchschnittlich kürzen fair all,,,,"{'Meine': 0.03, 'Antwort': 0, 'ist': 0.04, 'einfach': 0.04, 'das': 0.02, 'Durchschnittsalter': 0.525, 'und': 0.05, 'die': 0.07, 'Lebensqualität': 0.115, 'steigen': 0, 'sollte': 0.09, 'sich': 0, 'auch': 0.06, 'im': 0, 'Rentenalter': 0.59, 'spiegeln': 0, 'So': 0, 'rettet': 0, 'man': 0, 'Renten': 0.17, 'für': 0.04, 'künftige': 0.08, 'Generationen': 0.1, 'Dauer': 0.06, 'der': 0.07, 'Pensionierung': 0.18, 'wird': 0.04, 'dabei': 0, 'durchschnittlich': 0.05, 'nicht': 0.02, 'kürzen': 0, 'fair': 0.08, 'alle': 0.06}",positive,"[0.021600364, 0.0046662437, 0.97373337]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"2wöchiger #Vaterschaftsurlaub, 14wöchiger #Betreuungsurlaub, #Adoptionsentschädigung und längere #Mutterschaftsentschädigung bei Hospitalisation des Neugeborenen: so reicht die Erhöhung des EO-Beitragssatzes auf 0,5% nicht. Es braucht Verbesserungen, aber wirklich alle? #wahlen19",2wöchiger vaterschaftsurlaub 14wöchiger betreuungsurlaub adoptionsentschädigung lang mutterschaftsentschädigung hospitalisation neugeboren reichen erhöhung eo beitragssatzes brauchen verbesserungen wirklich all wahlen19,,,,,,,"{'2wöchiger': 0, 'Vaterschaftsurlaub': 0.57, '14wöchiger': 0, 'Betreuungsurlaub': 0.33499999999999996, 'Adoptionsentschädigung': 0, 'und': 0.32, 'längere': 0.17, 'Mutterschaftsentschädigung': 0.035, 'bei': 0, 'Hospitalisation': 0.04, 'des': 0, 'Neugeborenen': 0.02, 'so': 0, 'reicht': 0, 'die': 0.05, 'Erhöhung': 0, 'EO-Beitragssatzes': 0.0325, 'auf': 0, '0,5': 0, 'nicht': 0.2, 'Es': 0.08, 'braucht': 0.16, 'Verbesserungen': 0, 'aber': 0.05, 'wirklich': 0.06, 'alle': 0, 'wahlen19': 0.12}",neutral,"[0.669703, 0.24800825, 0.08228882]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@beathabegger Da sage ich nur Vetterliwirtschaft der linken Gutmenschen, dieses Mal in der SP.... - die wissen bereits vom sozialen Wohnungsbau, wie das geht (""Ironie off"")",sage vetterliwirtschaft link gutmenschen mal sp wissen bereits sozial wohnungsbau gehen ironie off,,,,,,,,,,"{'Da': 0, 'sage': 0, 'ich': 0.02, 'nur': 0.02, 'Vetterliwirtschaft': 0.38, 'der': 0.08, 'linken': 0.16, 'Gutmenschen': 0, 'dieses': 0.04, 'Mal': 0, 'in': 0.05, 'SP': 0.07, '....': 0, 'die': 0.08, 'wissen': 0.065, 'bereits': 0.1, 'vom': 0.23, 'sozialen': 1.0, 'Wohnungsbau': 1.0, 'wie': 0.06, 'das': 0, 'geht': 0, 'Ironie': 0.09, 'off': 0.06}",neutral,"[0.7337212, 0.03236706, 0.23391183]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@NZZzuerich @NZZ @adikaelin So geht staatlich gestützter Wohnungsbau: viele begünstigen (mit ihren Steuen) wenige... - Subjektfinanzierung wäre deutlich gerechter!,gehen staatlich gestützt wohnungsbau begünstigen steuen wenig subjektfinanzierung deutlich gerecht,,,,,,,,,,"{'So': 0, 'geht': 0, 'staatlich': 0.99, 'gestützter': 1.0, 'Wohnungsbau': 1.0, 'viele': 0, 'begünstigen': 0.16, 'mit': 0.08, 'ihren': 0, 'Steuen': 0, 'wenige': 0.12, '...': 0, 'Subjektfinanzierung': 0.1, 'wäre': 0.05, 'deutlich': 0, 'gerechter': 0}",positive,"[0.07824973, 0.025422812, 0.8963275]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Ja zu den Eigentümerstrategien der kantonalen Spitäler im Kt ZH mit grossem ABER BESSER bei den Themen Digitalisierung und Immobilien (fehlende Strategie). Auch ein MAHNFINGER zur EBITDA Marge (nicht auf Kosten des Personals) v.a. beim @Unispital_USZ  @fdp_zh @nzz @tagesanzeiger,ja eigentümerstrategien kantonalen spitäler kt zh grossem gut themen digitalisierung immobilien fehlend strategie mahnfinger ebitda marge kosten personals v a beim,,,,,,,,,,,,,"{'Ja': 0.38, 'zu': 0.02, 'den': 0.03, 'Eigentümerstrategien': 0.06, 'der': 0.03, 'kantonalen': 0.09, 'Spitäler': 0.06, 'im': 0, 'Kt': 0.05, 'ZH': 0.05, 'mit': 0.02, 'grossem': 0.06, 'ABER': 0.04, 'BESSER': 0.12, 'bei': 0.03, 'Themen': 0, 'Digitalisierung': 0, 'und': 0.38, 'Immobilien': 0, 'fehlende': 0, 'Strategie': 0.11, 'Auch': 0.02, 'ein': 0, 'MAHNFINGER': 0.1, 'zur': 0.025, 'EBITDA': 0.09, 'Marge': 0, 'nicht': 0.03, 'auf': 0.03, 'Kosten': 0, 'des': 0, 'Personals': 0, 'v.a.': 0, 'beim': 0.03}",positive,"[0.2710838, 0.24991418, 0.47900197]",,,,,,,positive
75.0,75.0,71.0,0.3333333333333333,neutral,"Heute am Abend um 18h! Ich freue mich, über ein wichtiges Thema zu sprechen: #Digitalisierung vereinfacht viel im #Spital, aber die #Gefahren darf man nicht unterschätzen. Im @kantonsrat_zh haben wir in der ABG hingeschaut. @tagesschau @NZZ @tagesanzeiger @GovCERT_CH @FDPFrauenCH https://t.co/82ma3VTnD6",heute abend 18h freuen wichtig thema sprechen digitalisierung vereinfachen spital gefahren dürfen unterschätzen abg hinschauen,,,,,,,,,,,,,"{'Heute': 0, 'am': 0.07, 'Abend': 0, 'um': 0.05, '18h': 0, 'Ich': 0.04, 'freue': 0.13, 'mich': 0, 'über': 0, 'ein': 0, 'wichtiges': 0.13, 'Thema': 0, 'zu': 0.05, 'sprechen': 0.05, 'Digitalisierung': 0, 'vereinfacht': 0, 'viel': 0.12, 'im': 0, 'Spital': 0.16, 'aber': 0.11, 'die': 0.53, 'Gefahren': 0, 'darf': 0, 'man': 0, 'nicht': 0.12, 'unterschätzen': 0, 'Im': 0, 'haben': 0.05, 'wir': 0, 'in': 0.04, 'der': 0.53, 'ABG': 0.31, 'hingeschaut': 1.0}",positive,"[0.34752342, 0.02352279, 0.62895375]",,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"@FelixZRH Ich freue mich, als FDPlerin einen Beitrag zum #Umweltschutz zu leisten!",freuen fdplerin beitrag umweltschutz leisten,,,,,,,,,,,,,,,,"{'Ich': 0.07, 'freue': 0.1, 'mich': 0, 'als': 0.23, 'FDPlerin': 0, 'einen': 0.11, 'Beitrag': 0.42, 'zum': 0.59, 'Umweltschutz': 0.615, 'zu': 0.59, 'leisten': 0}",positive,"[0.0022121312, 0.0012530287, 0.9965348]",,,,positive
50.0,75.0,57.0,0.0,neutral,"Heutige #Klimadebatte im #Kantonsrat Zürich:
JA zu #Umweltschutz und #Klimaschutz 
NEIN zu #Symbolpolitik und ""system change""
@WWF @fdp_zh @fdp_urban @NZZ @tagesanzeiger",heutige klimadebatte kantonsrat zürich ja umweltschutz klimaschutz nein symbolpolitik system change,,,,,,,,,,,,,,,,"{'Heutige': 0, 'Klimadebatte': 0.14, 'im': 0, 'Kantonsrat': 0.08499999999999999, 'Zürich': 0, 'JA': 0.05, 'zu': 0.63, 'Umweltschutz': 0.09, 'und': 0.05, 'Klimaschutz': 0.065, 'NEIN': 0.2, 'Symbolpolitik': 0.055, 'system': 0.04, 'change': 0.13}",positive,"[0.006912424, 0.0034731776, 0.9896144]",,,,neutral
100.0,100.0,86.0,0.7,neutral,@fdp_zh @zrh_airport @hjboesch So geht freisinnig liberaler Umweltschutz!,gehen freisinnig liberal umweltschutz,,,,,,,,,,,,,,,,"{'So': 0, 'geht': 0, 'freisinnig': 0, 'liberaler': 0, 'Umweltschutz': 0.8300000000000001}",positive,"[0.0006712374, 0.000972743, 0.99835604]",,,,positive
100.0,100.0,100.0,0.8800000000000001,neutral,"@FelixZRH Lieber Felix, ich hoffe, dass nur die svp mein #Postulat nicht mitträgt, welche heute Diskussion verlangt hat - oder besser: auch die SVP spricht sich nach Diskussion im #Kantonsrat dafür aus - so sieht übrigens liberaler #Umweltschutz aus @fdp_zh @fdp_urban @tagesanzeiger @NZZ",lieb felix hoffen svp postulat mittragen welch heute diskussion verlangen gut svp sprechen diskussion kantonsrat dafür sehen übrigens liberal umweltschutz,,,,,,,,,,,,,,,,"{'Lieber': 0.04, 'Felix': 0.05, 'ich': 0.01, 'hoffe': 0.03, 'dass': 0.02, 'nur': 0.02, 'die': 0.04, 'svp': 0, 'mein': 0.04, 'Postulat': 0.08, 'nicht': 0.11, 'mitträgt': 0, 'welche': 0.02, 'heute': 0.05, 'Diskussion': 0.08, 'verlangt': 0, 'hat': 0, 'oder': 0.05, 'besser': 0.03, 'auch': 0.04, 'SVP': 0, 'spricht': 0.06, 'sich': 0, 'nach': 0.03, 'im': 0, 'Kantonsrat': 0, 'dafür': 0, 'aus': 0.02, 'so': 0, 'sieht': 0, 'übrigens': 0.0825, 'liberaler': 0, 'Umweltschutz': 0.7}",positive,"[0.008729648, 0.006290785, 0.98497957]",,,,positive
50.0,75.0,57.0,0.0,neutral,"Mit 2 schriftlichen Anfragen im #Kantonsrat Zürich gefragt, wie die es um die #Nachhaltigkeit beim Beschaffungswesen der kantonalen Spitäler #USZ und #KSW steht - #FDP - wir machen #Umweltschutz https://t.co/I4LfT1r84I und https://t.co/nIXnzLMmif",schriftlich anfragen kantonsrat zürich fragen nachhaltigkeit beim beschaffungswesen kantonalen spitäler usz ksw stehen fdp umweltschutz,,,,,,,,,,,,,,,,"{'Mit': 0.06, '2': 0, 'schriftlichen': 0.05, 'Anfragen': 0, 'im': 0, 'Kantonsrat': 0.04, 'Zürich': 0, 'gefragt': 0.31, 'wie': 0.25, 'die': 0.03, 'es': 0, 'um': 0, 'Nachhaltigkeit': 0.06, 'beim': 0.03, 'Beschaffungswesen': 0.09, 'der': 0.03, 'kantonalen': 0.04, 'Spitäler': 0.04, 'USZ': 0, 'und': 0.22, 'KSW': 0.08, 'steht': 0.1, 'FDP': 0.1, 'wir': 0, 'machen': 1.0, 'Umweltschutz': 0.575}",neutral,"[0.62975514, 0.0067986767, 0.36344618]",,,,neutral
100.0,100.0,100.0,0.85,neutral,"So sieht #Umweltschutz dank #Innovation aus. So macht man Umweltschutz - und Arbeitsplätze entstehen dabei auch noch. Grossartig! Bildung sorgt für Wohlstand, aber auch für nachhaltigen Umgang mit unserer Umwelt, das findet die @fdp_zh  schon lange! https://t.co/YLSh6FRCQP",sehen umweltschutz danken innovation umweltschutz arbeitsplätze entstehen dabei grossartig bildung sorgen wohlstand nachhaltig umgang umwelt finden schon lang,,,,,,,,,,,,,,,,"{'So': 0, 'sieht': 0, 'Umweltschutz': 0.09, 'dank': 0.18, 'Innovation': 0.26, 'aus': 0, 'macht': 0, 'man': 0, 'und': 0.08, 'Arbeitsplätze': 0.06, 'entstehen': 0, 'dabei': 0, 'auch': 0.03, 'noch': 0, 'Grossartig': 0.1, 'Bildung': 0.09, 'sorgt': 0, 'für': 0.02, 'Wohlstand': 0.05, 'aber': 0.05, 'nachhaltigen': 0.05, 'Umgang': 0, 'mit': 0, 'unserer': 0.03, 'Umwelt': 0.05, 'das': 0.03, 'findet': 0, 'die': 0.03, 'schon': 0, 'lange': 0.02}",positive,"[0.0017990664, 0.0016931843, 0.9965077]",,,,positive
100.0,100.0,100.0,1.0,positive,"@ETH @dimpora So sieht Umweltschutz dank Innovation aus! Grossartig, vielen Dank.",sehen umweltschutz danken innovation grossartig danken,,,,,,,,,,,,,,,,"{'So': 0, 'sieht': 0, 'Umweltschutz': 0.62, 'dank': 0.14, 'Innovation': 0.1, 'aus': 0, 'Grossartig': 0.11, 'vielen': 0, 'Dank': 0.14}",positive,"[0.00076608604, 0.0011477891, 0.9980861]",,,,positive
