answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,negative,"RT @DieJungeMitteCH: Auch mit dem gleichen Rentenalter ist die AHV noch nicht langfristig saniert. Umso mehr verstehen wir es nicht, warum…",gleich rentenalter ahv langfristig sanieren umso mehr verstehen warum,"{'Auch': 0, 'mit': 0.8, 'dem': 0.07, 'gleichen': 1.0, 'Rentenalter': 0.96, 'ist': 0, 'die': 0.07, 'AHV': 0.13, 'noch': 0, 'nicht': 0.15, 'langfristig': 0.060000000000000005, 'saniert': 0, 'Umso': 0.07, 'mehr': 0.08, 'verstehen': 0.05, 'wir': 0, 'es': 0, 'warum': 0.09, '…': 0}",neutral,"[0.85915387, 0.035798557, 0.10504756]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @DieJungeMitteCH: Heute feiern wir den ersten #Vätertag MIT #Vaterschaftsurlaub! 🥳 Väter sind für die Familien genauso wichtig. Wir sage…,heute feiern erst vätertag vaterschaftsurlaub väter familien genauso wichtig sage,,,,"{'Heute': 0.07, 'feiern': 0.16, 'wir': 0, 'den': 0.07, 'ersten': 0.07, 'Vätertag': 0, 'MIT': 0.67, 'Vaterschaftsurlaub': 1.0, '🥳': 0, 'Väter': 0, 'sind': 0, 'für': 0, 'die': 0, 'Familien': 0, 'genauso': 0, 'wichtig': 0, 'Wir': 0, 'sage': 0, '…': 0}",positive,"[0.17810044, 0.010411782, 0.8114878]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @cvpluzern: Die Parolen der #CVP Kanton Luzern:

✅ #Jagdgesetz
❌ #Kündigungsinitiative
✅ #Kinderabzüge
✅ #Vaterschaftsurlaub
✅ #Kampfflu…",parolen cvp kanton luzern jagdgesetz kündigungsinitiative kinderabzüge vaterschaftsurlaub kampfflu,,,,"{'Die': 0.03, 'Parolen': 0.27, 'der': 0.03, 'CVP': 0.05, 'Kanton': 0.03, 'Luzern': 0, 'Jagdgesetz': 0.060000000000000005, 'Kündigungsinitiative': 0.11, 'Kinderabzüge': 0.63, 'Vaterschaftsurlaub': 1.0, 'Kampfflu': 0.12, '…': 0}",neutral,"[0.7926174, 0.0632714, 0.14411125]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,negative,Fülle gerade den Abstimmungszettel der @cvpluzern aus (für die DV auf dem Zirkularweg. Wer kann mich von einem Ja resp. Nein für den Vaterschaftsurlaub überzeugen? Bin sehr unschlüssig. Was spricht dafür/dagegen? Bin gespannt auf die Argumente 😅 #abstimmungenherbst2020 https://t.co/3fqD83N2IK,füllen gerade abstimmungszettel dv zirkularweg wer ja resp nein vaterschaftsurlaub überzeugen unschlüssig sprechen dafür dagegen spannen argumente abstimmungenherbst2020,,,,"{'Fülle': 0, 'gerade': 0.03, 'den': 0.05, 'Abstimmungszettel': 0.085, 'der': 0.05, 'aus': 0, 'für': 0.06, 'die': 0.05, 'DV': 0.06, 'auf': 0, 'dem': 0.05, 'Zirkularweg': 0, 'Wer': 0.11, 'kann': 0.05, 'mich': 0.07, 'von': 0, 'einem': 0, 'Ja': 0, 'resp': 0, 'Nein': 1.0, 'Vaterschaftsurlaub': 0.5800000000000001, 'überzeugen': 0.32, 'Bin': 0, 'sehr': 0.06, 'unschlüssig': 0, 'Was': 0, 'spricht': 0.05, 'dafür': 0, 'dagegen': 0.05, 'gespannt': 0, 'Argumente': 0.13, 'abstimmungenherbst2020': 0}",neutral,"[0.8187681, 0.050972007, 0.13025992]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @cvp_zh: Dank der @CVP_PDC  und unserem Nationalrat @PhilippKutter nimmt der #Vaterschaftsurlaub eine wichtige Hürde. Kommission #WBK de…,danken nationalrat nehmen vaterschaftsurlaub wichtig hürde kommission wbk de,,,,"{'Dank': 0.2, 'der': 0, 'und': 0.17, 'unserem': 0.1, 'Nationalrat': 0.155, 'nimmt': 0.54, 'Vaterschaftsurlaub': 0.68, 'eine': 0, 'wichtige': 0.21, 'Hürde': 0.7, 'Kommission': 0.29, 'WBK': 0.15, 'de': 0, '…': 0}",positive,"[0.008317122, 0.014781378, 0.9769015]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @PriskaWismer: Eine #erneuerbare Energiezukunft ist möglich - wir müssen es nur wollen! Gemeinsam packen wir es an. #Windenergie #Wind-p…,erneuerbare energiezukunft möglich müssen gemeinsam packen windenergie wind p,,,,,,,"{'Eine': 0, 'erneuerbare': 0.95, 'Energiezukunft': 0.54, 'ist': 0.87, 'möglich': 1.0, 'wir': 0, 'müssen': 0.27, 'es': 0.87, 'nur': 0, 'wollen': 0.64, 'Gemeinsam': 0.1, 'packen': 0, 'an': 0, 'Windenergie': 0.105, 'Wind-p': 0, '…': 0}",positive,"[0.031281818, 0.017101433, 0.9516167]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @SarahBuenter: ""Wer erneuerbare Energien will, muss auch B sagen und darf nicht gegen jedes Windrad Widerstand leisten. Die Schweiz hat…",wer erneuerbare energien b sagen dürfen jed windrad widerstehen leisten schweiz,,,,,,,"{'Wer': 0.05, 'erneuerbare': 0.07, 'Energien': 0.08, 'will': 0, 'muss': 0, 'auch': 0.05, 'B': 0.09, 'sagen': 0.04, 'und': 0.06, 'darf': 0, 'nicht': 0.09, 'gegen': 0, 'jedes': 0, 'Windrad': 0, 'Widerstand': 0, 'leisten': 0, 'Die': 0, 'Schweiz': 0.32, 'hat': 0, '…': 0}",positive,"[0.13185337, 0.019592667, 0.8485539]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @cwasi: 6 Spuren auf den Autobahnen zwischen den städtischen Zentren sind zusammen mit dem Bahnausbau mit Viertelstunden-Takt dringend n…,spuren autobahnen städtisch zentren zusammen bahnausbau viertelstunden takt dringen n,,,,,,,,,,"{'6': 0, 'Spuren': 0, 'auf': 0.16, 'den': 0.08, 'Autobahnen': 0, 'zwischen': 0.13, 'städtischen': 0.05, 'Zentren': 0.08, 'sind': 0.31, 'zusammen': 0.08, 'mit': 0.07, 'dem': 0.08, 'Bahnausbau': 0.09, 'Viertelstunden-Takt': 0.08, 'dringend': 0.28, 'n': 0, '…': 0}",negative,"[0.38868248, 0.45182514, 0.1594924]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @hauser_info: AWG Luzern in Sempach: „Braucht die Schweiz neue Kampfflugzeuge?“ Ja, zum Schutz der Menschen in unserem Land! @Violapamhe…",awg luzern sempach brauchen schweiz neue kampfflugzeuge ja schutz menschen land,,,,,,,,,,,,,"{'AWG': 0.07, 'Luzern': 0.1, 'in': 0, 'Sempach': 0.1, '„': 0, 'Braucht': 0, 'die': 0, 'Schweiz': 0, 'neue': 0, 'Kampfflugzeuge': 0, '“': 0, 'Ja': 0, 'zum': 0, 'Schutz': 0, 'der': 0, 'Menschen': 0, 'unserem': 0, 'Land': 0, '…': 0}",positive,"[0.34954166, 0.07483693, 0.5756214]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @idamicha: Mit einem JA zu neuen Kampfflugzeugen helfen wir alle mit, die Sicherheit der Schweiz auch in Zukunft zu gewährleisten.",ja neu kampfflugzeugen helfen all sicherheit schweiz zukunft gewährleisten,,,,,,,,,,,,,"{'Mit': 0.28, 'einem': 0, 'JA': 0, 'zu': 0.16, 'neuen': 0.14, 'Kampfflugzeugen': 0, 'helfen': 0, 'wir': 0, 'alle': 0, 'mit': 0.28, 'die': 0.18, 'Sicherheit': 0, 'der': 0.18, 'Schweiz': 0.19, 'auch': 0, 'in': 0.18, 'Zukunft': 0.39, 'gewährleisten': 0}",positive,"[0.07686664, 0.02565777, 0.89747554]",,,,,,,,,,,,,positive
