answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @SarahBuenter: Endlich! Rentenalter 65 auch für Frauen. 💪,endlich rentenalter frauen,"{'Endlich': 0.97, 'Rentenalter': 0.685, 'auch': 0, 'für': 1.0, 'Frauen': 0.65}",positive,"[0.1098296, 0.005655678, 0.88451475]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @Angelika_Ruider: Danke @SarahBuenter für dein Statement zum Frauenrentenalter. Gleiche Rechte, gleiche Pflichten! #srfarena",danke statement frauenrentenalter gleich rechte gleich pflichten srfarena,"{'Danke': 0.22999999999999998, 'für': 0.35, 'dein': 0.17, 'Statement': 0.51, 'zum': 1.0, 'Frauenrentenalter': 0.52, 'Gleiche': 0.14, 'Rechte': 0, 'gleiche': 0.14, 'Pflichten': 0.19, 'srfarena': 0.1}",positive,"[0.033997755, 0.004519707, 0.9614825]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Schöner Bericht über die ersten 2 Monate als Vater und anlehnend Gedanken zum #Vaterschaftsurlaub. 

„Heute fühle ich mich nicht gleichberechtigt, sondern gleichverpflichtet.“ https://t.co/ghpxXlflEv",schön bericht erst monate vater anlehnen gedanken vaterschaftsurlaub heute fühlen gleichberechtigt gleichverpflichtet,,,,"{'Schöner': 0, 'Bericht': 0, 'über': 0, 'die': 0.04, 'ersten': 0.04, 'Monate': 0.06, 'als': 0.06, 'Vater': 0.08, 'und': 0.07, 'anlehnend': 0.1, 'Gedanken': 0.14, 'zum': 0.04, 'Vaterschaftsurlaub': 0.74, '„': 0, 'Heute': 0, 'fühle': 0, 'ich': 0, 'mich': 0, 'nicht': 0, 'gleichberechtigt': 0, 'sondern': 0, 'gleichverpflichtet': 0, '“': 0}",positive,"[0.013835335, 0.006087968, 0.98007673]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Spenden Sie ihre Organe? 
@WiNa_Ze ⁦@Swisstransplant⁩ #organspende  https://t.co/hpdAC2WSga",spenden organe organspende,,,,,,,"{'Spenden': 0.37, 'Sie': 0, 'ihre': 0, 'Organe': 0.15, '\u2066\u2069': 0, 'organspende': 0}",neutral,"[0.93622565, 0.0050244476, 0.05874993]",,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"RT @PatrickS_Huber: Gestern sagte @PascalPfister, der neue Familienbonus, sei nur für Reiche...
Dass die Linken niemals für Steuersenkungen…",gestern sagen neue familienbonus reichen link niemals steuersenkungen,,,,,,,,,,"{'Gestern': 0.08, 'sagte': 0.09, 'der': 0.28, 'neue': 0.13, 'Familienbonus': 0.135, 'sei': 0, 'nur': 0.09, 'für': 0.11, 'Reiche': 0.07, '...': 0, 'Dass': 0.36, 'die': 0.28, 'Linken': 0.88, 'niemals': 0, 'Steuersenkungen': 0.645, '…': 0}",negative,"[0.22434849, 0.7108057, 0.064845756]",,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @Remo_Ley: 283 Mio Überschuss in Kt BS!
83 Mio höherer Steuerbetrag als budgetiert!
Es seien aber keine weiteren Steuersenkungen, wie es…",mio überschuss kt bs mio hoch steuerbetrag budgetiert weit steuersenkungen,,,,,,,,,,"{'Mio': 0, 'Überschuss': 0, 'in': 0.03, 'Kt': 0.04, 'BS': 0.05, 'höherer': 0.06, 'Steuerbetrag': 0.065, 'als': 0, 'budgetiert': 0.08, 'Es': 0, 'seien': 0, 'aber': 0.39, 'keine': 0, 'weiteren': 1.0, 'Steuersenkungen': 0.33999999999999997, 'wie': 0, 'es': 0, '…': 0}",positive,"[0.315169, 0.037635326, 0.6471957]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @JCVPSchweiz: Die Delegierten der @JCVPSchweiz sagen mit 37 Ja zu 2 Nein bei 1 Enthaltung JA zur Beschaffung neuer #Kampfflugzeuge und d…,delegieren sagen ja nein enthaltung ja beschaffung neu kampfflugzeuge d,,,,,,,,,,,,,"{'Die': 0.12, 'Delegierten': 0.14, 'der': 0.12, 'sagen': 0.1, 'mit': 0.04, 'Ja': 0.17, 'zu': 0.14, 'Nein': 0.04, 'bei': 0, 'Enthaltung': 0.14, 'JA': 0.17, 'zur': 0.13, 'Beschaffung': 0.99, 'neuer': 0, 'Kampfflugzeuge': 0, 'und': 0.17, 'd': 0, '…': 0}",positive,"[0.2457082, 0.05289085, 0.70140094]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @Jcvp_bs: @MarcoNatoli92

""Angesichts der Veränderungen, welche die Digitalisierung mit sich bringt, müssen wir die Art und Weise wie wi…",angesichts veränderungen welch digitalisierung bringen müssen art weisen wi,,,,,,,,,,,,,,,,"{'Angesichts': 0, 'der': 0.05, 'Veränderungen': 0.99, 'welche': 0, 'die': 0.05, 'Digitalisierung': 0, 'mit': 0.97, 'sich': 0, 'bringt': 1.0, 'müssen': 0.08499999999999999, 'wir': 0, 'Art': 0, 'und': 0, 'Weise': 0, 'wie': 0, 'wi': 0, '…': 0}",neutral,"[0.5572343, 0.11191098, 0.33085483]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @JCVPSchweiz: Viele Studierende reisen mit dem öffentlichen Verkehr an ihre Hochschulen. Dies ist eine nachhaltige Mobilität, deren Attr…",studierend reisen öffentlich verkehr hochschulen nachhaltig mobilität attr,,,,,,,,,,,,,,,,,,,"{'Viele': 0, 'Studierende': 0.14, 'reisen': 0, 'mit': 0, 'dem': 0.04, 'öffentlichen': 0.05, 'Verkehr': 0, 'an': 0, 'ihre': 0.05, 'Hochschulen': 0.12, 'Dies': 0, 'ist': 0.17, 'eine': 0, 'nachhaltige': 0.28, 'Mobilität': 0.17, 'deren': 0.93, 'Attr': 0.69, '…': 0}",positive,"[0.46434805, 0.06994712, 0.46570483]",neutral
100.0,100.0,100.0,1.0,neutral,"RT @jcvp_sg: ""Als Knotenpunkt zwischen Zürich, Chur und St. Gallen ist eine gute Anbindung an den öffentlichen Verkehr für das Sarganserlan…",knotenpunkt zürich chur st gallen gut anbindung öffentlich verkehr sarganserlan,,,,,,,,,,,,,,,,,,,"{'Als': 0, 'Knotenpunkt': 0.15, 'zwischen': 0.08, 'Zürich': 0, 'Chur': 0, 'und': 0.05, 'St.': 0, 'Gallen': 0.13, 'ist': 0.31, 'eine': 0, 'gute': 0, 'Anbindung': 1.0, 'an': 0, 'den': 0.19, 'öffentlichen': 0.18, 'Verkehr': 0, 'für': 0.19, 'das': 0, 'Sarganserlan': 0.33, '…': 0}",positive,"[0.014561135, 0.0057420074, 0.9796968]",positive
