answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @glpzh: Der aktuelle Kantonsratsbericht zu den Themen ""Bezahlbare Kinderbetreuung für alle"" und ""Musikschulgesetz"" https://t.co/m610pfof…",aktuell kantonsratsbericht themen bezahlbare kinderbetreuung all musikschulgesetz,"{'Der': 0.05, 'aktuelle': 0.05, 'Kantonsratsbericht': 0.1075, 'zu': 0, 'den': 0.05, 'Themen': 0.17, 'Bezahlbare': 0, 'Kinderbetreuung': 1.0, 'für': 0.12, 'alle': 0.08, 'und': 0.08, 'Musikschulgesetz': 0.0625}",positive,"[0.0005393136, 0.0010531831, 0.99840754]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @tagesanzeiger: #TAWochenrückblick: Mehrere Schweizer Städte wollen zurück zu einer Cannabis-Legalisierung.
https://t.co/9X3bDCBJfA",tawochenrückblick mehrer schweizer städte zurück cannabis legalisierung,,,,"{'TAWochenrückblick': 0, 'Mehrere': 0.07, 'Schweizer': 0.1, 'Städte': 0.14, 'wollen': 0.12, 'zurück': 0.22, 'zu': 0.28, 'einer': 0, 'Cannabis-Legalisierung': 1.0}",positive,"[0.19792324, 0.005822973, 0.7962538]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @honegger: heute in #10vor10 ►Clinton unter Beschuss ►Rentenalter auf Autopilot ►Käse-Export: Tops &amp; Flops ►Alle gegen #Canepa https://t…,heute 10vor10 clinton beschuss rentenalter autopilot käse export tops amp flops all canepa,,,,,,,"{'heute': 0.2, 'in': 0.2, '10vor10': 0.3, '►': 0, 'Clinton': 0, 'unter': 0, 'Beschuss': 0, 'Rentenalter': 0, 'auf': 0, 'Autopilot': 0, 'Käse-Export': 0, 'Tops': 0, 'amp': 0, 'Flops': 0, 'Alle': 0, 'gegen': 0, 'Canepa': 0}",neutral,"[0.49657443, 0.4690786, 0.034347028]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @NZZaS: Sieben Monate Vaterschaftsurlaub – wenn da nur nicht die skeptischen Mütter im Park wären.

https://t.co/7NVePKcPWS https://t.co…",sieben monate vaterschaftsurlaub skeptisch mütter park,,,,,,,,,,"{'Sieben': 0.73, 'Monate': 1.0, 'Vaterschaftsurlaub': 0.79, '–': 0, 'wenn': 0, 'da': 0, 'nur': 0, 'nicht': 0, 'die': 0, 'skeptischen': 0, 'Mütter': 0, 'im': 0, 'Park': 0, 'wären': 0}",negative,"[0.38315672, 0.5035649, 0.11327836]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,RT @watson_news: Schweizer Firmen entdecken den Vaterschaftsurlaub – doch die Politik wehrt sich dagegen: https://t.co/4KWdeqiknR https://t…,schweizer firmen entdecken vaterschaftsurlaub politik wehren dagegen,,,,,,,,,,"{'Schweizer': 0.21, 'Firmen': 0.78, 'entdecken': 1.0, 'den': 0, 'Vaterschaftsurlaub': 0.775, '–': 0, 'doch': 0, 'die': 0, 'Politik': 0, 'wehrt': 0, 'sich': 0, 'dagegen': 0}",neutral,"[0.50903875, 0.2078523, 0.28310895]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,RT @grunliberale: «Die ältere Generation lebt bei der #Pensionskasse auf Kosten der jüngeren.» @kathrinbertschy zum echten Rentenklau: http…,alt generation leben pensionskasse kosten jung echt rentenklau http,,,,,,,,,,,,,"{'«': 0, 'Die': 0, 'ältere': 0, 'Generation': 0, 'lebt': 0, 'bei': 0, 'der': 0, 'Pensionskasse': 0, 'auf': 0, 'Kosten': 0, 'jüngeren': 0, '»': 0, 'zum': 0, 'echten': 0, 'Rentenklau': 0, 'http': 0, '…': 0}",negative,"[0.35209513, 0.58046925, 0.06743568]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @Michael_Koepfli: #Pensionskassen: Rentenklau an Jungen im Gange: https://t.co/4XPNYqovPO Das muss gestoppt werden. Für Umverteilung gib…,pensionskassen rentenklau jung gange stoppen umverteilung geben,,,,,,,,,,,,,"{'Pensionskassen': 0.1, 'Rentenklau': 0.11, 'an': 0, 'Jungen': 0.08, 'im': 0, 'Gange': 0, 'Das': 0, 'muss': 0, 'gestoppt': 0.13, 'werden': 0, 'Für': 0.53, 'Umverteilung': 0.29, 'gib': 1.0, '…': 0}",positive,"[0.10032688, 0.16192958, 0.7377436]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @glpTG: Ein Zeichen des Willkommens:  Sieben Thurgauer Parteien werben gemeinsam für ein Ja zur erleichterten Einbürgerung https://t.co/…,zeichen willkommens sieben thurgauer parteien werben gemeinsam ja erleichtern einbürgerung,,,,,,,,,,,,,,,,"{'Ein': 0.14, 'Zeichen': 0.08, 'des': 0, 'Willkommens': 0.11, 'Sieben': 0.15, 'Thurgauer': 0.17, 'Parteien': 0.12, 'werben': 0, 'gemeinsam': 0, 'für': 0.13, 'ein': 0, 'Ja': 0, 'zur': 0.39, 'erleichterten': 0, 'Einbürgerung': 1.0}",positive,"[0.008042998, 0.0016385041, 0.99031854]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @uelifisch: #glp #Thurgau beschliesst einstimmig JA-Parole zur erleichterten Einbürgerung 3. Ausländergeneration @glpTG,glp thurgau beschliesst einstimmig ja parole erleichtern einbürgerung ausländergeneration,,,,,,,,,,,,,,,,"{'glp': 0.09, 'Thurgau': 0.15, 'beschliesst': 0, 'einstimmig': 0.07, 'JA-Parole': 0, 'zur': 0.31, 'erleichterten': 0, 'Einbürgerung': 1.0, '3.': 0, 'Ausländergeneration': 0.15000000000000002}",positive,"[0.011669561, 0.001855257, 0.98647517]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @srfnews: #Einbürgerung für Ausländer dritter Generation soll einfacher werden. Wo steht die #schweiz im int. Vergleich? https://t.co/NA…,einbürgerung ausländer dritt generation einfach stehen schweiz int vergleich,,,,,,,,,,,,,,,,"{'Einbürgerung': 1.0, 'für': 0.09, 'Ausländer': 0.21, 'dritter': 0.06, 'Generation': 0.08, 'soll': 0, 'einfacher': 0.87, 'werden': 0, 'Wo': 0.07, 'steht': 0, 'die': 0, 'schweiz': 0, 'im': 0, 'int': 0, 'Vergleich': 0.06}",positive,"[0.06868105, 0.020320263, 0.9109987]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
